Rank,Deck,Count,Score,Win%,Limit_ID,Limit_URL
1,Lugia Archeops,4900,12875 - 11280 - 711,51.78%,lugia-archeops,https://play.limitlesstcg.com/decks/lugia-archeops/matchups/?format=standard&rotation=2022&set=SIT
2,Mew Genesect,3364,7962 - 7998 - 403,48.66%,mew-genesect,https://play.limitlesstcg.com/decks/mew-genesect/matchups/?format=standard&rotation=2022&set=SIT
3,Lost Zone Box,2509,5557 - 5975 - 422,46.49%,lost-zone-box,https://play.limitlesstcg.com/decks/lost-zone-box/matchups/?format=standard&rotation=2022&set=SIT
4,Regis,1528,3929 - 3707 - 294,49.55%,regigigas-asr,https://play.limitlesstcg.com/decks/regigigas-asr/matchups/?format=standard&rotation=2022&set=SIT
5,Arceus Duraludon,1423,3957 - 3183 - 210,53.84%,arceus-duraludon,https://play.limitlesstcg.com/decks/arceus-duraludon/matchups/?format=standard&rotation=2022&set=SIT
6,Goodra LZ Box,1029,2813 - 2363 - 183,52.49%,goodra-lz-box,https://play.limitlesstcg.com/decks/goodra-lz-box/matchups/?format=standard&rotation=2022&set=SIT
7,Rayquaza LZ Box,1025,2441 - 2425 - 185,48.33%,rayquaza-lz-box,https://play.limitlesstcg.com/decks/rayquaza-lz-box/matchups/?format=standard&rotation=2022&set=SIT
8,Giratina LZ Box,840,2102 - 2091 - 114,48.80%,giratina-lz-box,https://play.limitlesstcg.com/decks/giratina-lz-box/matchups/?format=standard&rotation=2022&set=SIT
9,Other,680,959 - 1700 - 79,35.03%,other,https://play.limitlesstcg.com/decks/other/matchups/?format=standard&rotation=2022&set=SIT
10,Eternatus,560,1335 - 1212 - 87,50.68%,eternatus-vmax,https://play.limitlesstcg.com/decks/eternatus-vmax/matchups/?format=standard&rotation=2022&set=SIT
11,Palkia Inteleon,520,1253 - 1297 - 75,47.73%,palkia-inteleon,https://play.limitlesstcg.com/decks/palkia-inteleon/matchups/?format=standard&rotation=2022&set=SIT
12,Vikavolt,439,974 - 1054 - 36,47.19%,vikavolt-v,https://play.limitlesstcg.com/decks/vikavolt-v/matchups/?format=standard&rotation=2022&set=SIT
13,Arceus Flying Pikachu,397,1046 - 916 - 61,51.71%,arceus-flying-pikachu,https://play.limitlesstcg.com/decks/arceus-flying-pikachu/matchups/?format=standard&rotation=2022&set=SIT
14,Vikavolt Regieleki,391,975 - 977 - 44,48.85%,vikavolt-regieleki,https://play.limitlesstcg.com/decks/vikavolt-regieleki/matchups/?format=standard&rotation=2022&set=SIT
15,Zoroark Box,364,665 - 864 - 43,42.30%,zoroark-evs,https://play.limitlesstcg.com/decks/zoroark-evs/matchups/?format=standard&rotation=2022&set=SIT
16,Kyurem Palkia,327,724 - 839 - 33,45.36%,kyurem-palkia,https://play.limitlesstcg.com/decks/kyurem-palkia/matchups/?format=standard&rotation=2022&set=SIT
17,Arceus,254,626 - 576 - 16,51.40%,arceus-vstar,https://play.limitlesstcg.com/decks/arceus-vstar/matchups/?format=standard&rotation=2022&set=SIT
18,Yveltal Control,251,589 - 562 - 130,45.98%,yveltal-control,https://play.limitlesstcg.com/decks/yveltal-control/matchups/?format=standard&rotation=2022&set=SIT
19,Hisuian Zoroark,246,452 - 615 - 29,41.24%,hisuian-zoroark-vstar,https://play.limitlesstcg.com/decks/hisuian-zoroark-vstar/matchups/?format=standard&rotation=2022&set=SIT
20,Mewtwo Control,234,532 - 493 - 87,47.84%,mewtwo-control,https://play.limitlesstcg.com/decks/mewtwo-control/matchups/?format=standard&rotation=2022&set=SIT
21,Arceus Goodra,181,455 - 454 - 32,48.35%,arceus-goodra,https://play.limitlesstcg.com/decks/arceus-goodra/matchups/?format=standard&rotation=2022&set=SIT
22,Shadow Rider Calyrex,180,374 - 437 - 25,44.74%,shadow-rider-calyrex-vmax,https://play.limitlesstcg.com/decks/shadow-rider-calyrex-vmax/matchups/?format=standard&rotation=2022&set=SIT
23,Regidrago,178,312 - 449 - 4,40.78%,regidrago-vstar,https://play.limitlesstcg.com/decks/regidrago-vstar/matchups/?format=standard&rotation=2022&set=SIT
24,Blissey,175,364 - 447 - 27,43.44%,blissey-v,https://play.limitlesstcg.com/decks/blissey-v/matchups/?format=standard&rotation=2022&set=SIT
25,Arceus Tapu Koko,173,532 - 390 - 35,55.59%,arceus-tapu-koko,https://play.limitlesstcg.com/decks/arceus-tapu-koko/matchups/?format=standard&rotation=2022&set=SIT
26,Galarian Weezing,152,220 - 366 - 24,36.07%,galarian-weezing-rcl,https://play.limitlesstcg.com/decks/galarian-weezing-rcl/matchups/?format=standard&rotation=2022&set=SIT
27,Lunatone Solrock,148,317 - 327 - 14,48.18%,lunarock-pgo,https://play.limitlesstcg.com/decks/lunarock-pgo/matchups/?format=standard&rotation=2022&set=SIT
28,Durant,147,256 - 363 - 9,40.76%,durant-bst,https://play.limitlesstcg.com/decks/durant-bst/matchups/?format=standard&rotation=2022&set=SIT
29,Arceus Regidrago,135,327 - 331 - 21,48.16%,arceus-regidrago,https://play.limitlesstcg.com/decks/arceus-regidrago/matchups/?format=standard&rotation=2022&set=SIT
30,Arceus Inteleon,134,382 - 302 - 32,53.35%,arceus-inteleon,https://play.limitlesstcg.com/decks/arceus-inteleon/matchups/?format=standard&rotation=2022&set=SIT
31,Duraludon,115,181 - 276 - 8,38.92%,duraludon-vmax,https://play.limitlesstcg.com/decks/duraludon-vmax/matchups/?format=standard&rotation=2022&set=SIT
32,Palkia Vikavolt,109,228 - 253 - 16,45.88%,palkia-vikavolt,https://play.limitlesstcg.com/decks/palkia-vikavolt/matchups/?format=standard&rotation=2022&set=SIT
33,Crobat Weezing,102,219 - 226 - 14,47.71%,crobat-weezing,https://play.limitlesstcg.com/decks/crobat-weezing/matchups/?format=standard&rotation=2022&set=SIT
34,Rotom,83,167 - 201 - 7,44.53%,rotom-v,https://play.limitlesstcg.com/decks/rotom-v/matchups/?format=standard&rotation=2022&set=SIT
35,Zacian,80,176 - 188 - 8,47.31%,zacian-v,https://play.limitlesstcg.com/decks/zacian-v/matchups/?format=standard&rotation=2022&set=SIT
36,Frosmoth Inteleon Box,70,124 - 140 - 15,44.44%,frosmoth-inteleon,https://play.limitlesstcg.com/decks/frosmoth-inteleon/matchups/?format=standard&rotation=2022&set=SIT
37,Dialga,66,123 - 148 - 9,43.93%,dialga-vstar,https://play.limitlesstcg.com/decks/dialga-vstar/matchups/?format=standard&rotation=2022&set=SIT
38,Weezing Aerodactyl,65,155 - 162 - 10,47.40%,weezing-aerodactyl,https://play.limitlesstcg.com/decks/weezing-aerodactyl/matchups/?format=standard&rotation=2022&set=SIT
39,Inteleon Box,64,108 - 149 - 6,41.06%,inteleon-box,https://play.limitlesstcg.com/decks/inteleon-box/matchups/?format=standard&rotation=2022&set=SIT
40,Palkia,61,123 - 125 - 11,47.49%,palkia-vstar,https://play.limitlesstcg.com/decks/palkia-vstar/matchups/?format=standard&rotation=2022&set=SIT
41,Darkrai,61,92 - 170 - 2,34.85%,dakrai-vstar,https://play.limitlesstcg.com/decks/dakrai-vstar/matchups/?format=standard&rotation=2022&set=SIT
