Opponent,Matches,Score,Win%
Lugia Archeops,22,2 - 20 - 0,9.09%
Mew Genesect,17,10 - 7 - 0,58.82%
Lost Zone Box,7,2 - 3 - 2,28.57%
Giratina LZ Box,6,2 - 4 - 0,33.33%
Rayquaza LZ Box,5,1 - 3 - 1,20.00%
Arceus Duraludon,5,0 - 5 - 0,0.00%
Regis,4,0 - 4 - 0,0.00%
Vikavolt Regieleki,3,2 - 1 - 0,66.67%
Eternatus,3,1 - 2 - 0,33.33%
Goodra LZ Box,3,1 - 2 - 0,33.33%
Hisuian Zoroark,3,0 - 3 - 0,0.00%
Kyurem Palkia,2,1 - 1 - 0,50.00%
Shadow Rider Calyrex,2,1 - 1 - 0,50.00%
Arceus Inteleon,2,1 - 1 - 0,50.00%
Other,1,1 - 0 - 0,100.00%
Zoroark Box,1,1 - 0 - 0,100.00%
Dialga,1,1 - 0 - 0,100.00%
Blissey,1,1 - 0 - 0,100.00%
Mewtwo Gengar,1,1 - 0 - 0,100.00%
Inteleon Box,1,0 - 1 - 0,0.00%
Dialga LZ,1,0 - 1 - 0,0.00%
Machamp,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Arceus Goodra,1,0 - 1 - 0,0.00%
Amazing Reshiram,1,0 - 1 - 0,0.00%
Mewtwo Control,1,0 - 1 - 0,0.00%
Palkia Inteleon,1,0 - 1 - 0,0.00%
Vikavolt,1,0 - 1 - 0,0.00%
Yveltal Control,1,0 - 1 - 0,0.00%
