Opponent,Matches,Score,Win%
Lugia Archeops,14,6 - 8 - 0,42.86%
Mew Genesect,11,6 - 5 - 0,54.55%
Regis,7,5 - 2 - 0,71.43%
Palkia Inteleon,7,2 - 5 - 0,28.57%
Goodra LZ Box,5,0 - 4 - 1,0.00%
Giratina LZ Box,4,2 - 2 - 0,50.00%
Lost Zone Box,4,0 - 4 - 0,0.00%
Arceus Duraludon,2,2 - 0 - 0,100.00%
Rayquaza LZ Box,2,2 - 0 - 0,100.00%
Galarian Weezing,2,1 - 1 - 0,50.00%
Vikavolt,2,1 - 1 - 0,50.00%
Arceus Flying Pikachu,2,0 - 2 - 0,0.00%
Arceus Giratina,1,1 - 0 - 0,100.00%
Regidrago,1,1 - 0 - 0,100.00%
Zoroark Box,1,1 - 0 - 0,100.00%
Kyurem Palkia,1,1 - 0 - 0,100.00%
Arceus Regidrago,1,1 - 0 - 0,100.00%
Arceus Gyarados,1,1 - 0 - 0,100.00%
Durant,1,1 - 0 - 0,100.00%
Yveltal Control,1,1 - 0 - 0,100.00%
Other,1,1 - 0 - 0,100.00%
Mewtwo Control,1,1 - 0 - 0,100.00%
Arceus Tapu Koko,1,1 - 0 - 0,100.00%
Blissey,1,1 - 0 - 0,100.00%
Rotom,1,1 - 0 - 0,100.00%
Eternatus,1,0 - 1 - 0,0.00%
Dialga LZ,1,0 - 1 - 0,0.00%
Frosmoth Inteleon Box,1,0 - 1 - 0,0.00%
Dragapult Inteleon,1,0 - 1 - 0,0.00%
