Opponent,Matches,Score,Win%
Lugia Archeops,1498,751 - 710 - 37,50.13%
Mew Genesect,987,416 - 547 - 24,42.15%
Lost Zone Box,732,451 - 256 - 25,61.61%
Regis,503,274 - 219 - 10,54.47%
Arceus Duraludon,452,224 - 224 - 4,49.56%
Goodra LZ Box,349,189 - 147 - 13,54.15%
Rayquaza LZ Box,338,170 - 158 - 10,50.30%
Giratina LZ Box,225,90 - 128 - 7,40.00%
Eternatus,169,95 - 70 - 4,56.21%
Palkia Inteleon,159,82 - 72 - 5,51.57%
Other,149,110 - 35 - 4,73.83%
Vikavolt,146,105 - 39 - 2,71.92%
Arceus Flying Pikachu,136,79 - 53 - 4,58.09%
Vikavolt Regieleki,112,77 - 31 - 4,68.75%
Zoroark Box,107,64 - 41 - 2,59.81%
Kyurem Palkia,90,43 - 44 - 3,47.78%
Arceus,80,40 - 39 - 1,50.00%
Mewtwo Control,79,42 - 24 - 13,53.16%
Yveltal Control,70,56 - 8 - 6,80.00%
Arceus Tapu Koko,61,32 - 26 - 3,52.46%
Blissey,53,38 - 15 - 0,71.70%
Hisuian Zoroark,53,33 - 18 - 2,62.26%
Arceus Goodra,50,28 - 21 - 1,56.00%
Shadow Rider Calyrex,48,17 - 29 - 2,35.42%
Arceus Regidrago,47,29 - 14 - 4,61.70%
Durant,44,32 - 8 - 4,72.73%
Arceus Inteleon,42,23 - 16 - 3,54.76%
Regidrago,40,25 - 15 - 0,62.50%
Lunatone Solrock,39,21 - 17 - 1,53.85%
Galarian Weezing,34,33 - 0 - 1,97.06%
Palkia Vikavolt,33,21 - 11 - 1,63.64%
Duraludon,31,19 - 12 - 0,61.29%
Crobat Weezing,26,20 - 4 - 2,76.92%
Dialga,23,9 - 14 - 0,39.13%
Rotom,19,9 - 10 - 0,47.37%
Zacian,18,9 - 8 - 1,50.00%
Weezing Aerodactyl,17,13 - 4 - 0,76.47%
Arceus Giratina,17,11 - 6 - 0,64.71%
Palkia,14,10 - 2 - 2,71.43%
Darkrai,13,6 - 7 - 0,46.15%
Calyrex Inteleon,12,8 - 4 - 0,66.67%
Rapid Strike Urshifu,11,8 - 3 - 0,72.73%
Flaaffy,11,7 - 3 - 1,63.64%
Hisuian Arcanine,11,3 - 8 - 0,27.27%
Articuno Inteleon,10,10 - 0 - 0,100.00%
Inteleon Box,9,3 - 6 - 0,33.33%
Dialga LZ,8,4 - 4 - 0,50.00%
Urshifu Inteleon,7,6 - 1 - 0,85.71%
Kyurem,7,6 - 1 - 0,85.71%
Mewtwo Gengar,7,5 - 2 - 0,71.43%
Rapid Strike Malamar,7,5 - 2 - 0,71.43%
Snorlax Stall,7,5 - 2 - 0,71.43%
Frosmoth Inteleon Box,7,5 - 1 - 1,71.43%
