Opponent,Matches,Score,Win%
Lugia Archeops,405,186 - 211 - 8,45.93%
Mew Genesect,276,144 - 128 - 4,52.17%
Lost Zone Box,170,107 - 59 - 4,62.94%
Regis,138,97 - 32 - 9,70.29%
Arceus Duraludon,136,53 - 79 - 4,38.97%
Goodra LZ Box,120,54 - 62 - 4,45.00%
Rayquaza LZ Box,80,51 - 28 - 1,63.75%
Giratina LZ Box,61,21 - 37 - 3,34.43%
Eternatus,49,30 - 16 - 3,61.22%
Palkia Inteleon,46,21 - 25 - 0,45.65%
Vikavolt,37,21 - 14 - 2,56.76%
Other,36,23 - 11 - 2,63.89%
Arceus Flying Pikachu,36,18 - 18 - 0,50.00%
Kyurem Palkia,31,19 - 11 - 1,61.29%
Vikavolt Regieleki,29,13 - 15 - 1,44.83%
Zoroark Box,28,18 - 9 - 1,64.29%
Arceus,23,7 - 16 - 0,30.43%
Shadow Rider Calyrex,21,14 - 7 - 0,66.67%
Hisuian Zoroark,20,11 - 8 - 1,55.00%
Arceus Tapu Koko,18,5 - 11 - 2,27.78%
Mewtwo Control,16,6 - 9 - 1,37.50%
Yveltal Control,15,8 - 5 - 2,53.33%
Palkia Vikavolt,15,4 - 10 - 1,26.67%
Blissey,14,6 - 6 - 2,42.86%
Rotom,14,3 - 10 - 1,21.43%
Arceus Inteleon,12,2 - 10 - 0,16.67%
Regidrago,11,5 - 6 - 0,45.45%
Lunatone Solrock,10,7 - 3 - 0,70.00%
Galarian Weezing,10,7 - 2 - 1,70.00%
Crobat Weezing,10,6 - 3 - 1,60.00%
Arceus Regidrago,10,4 - 6 - 0,40.00%
Arceus Goodra,9,4 - 5 - 0,44.44%
Durant,8,5 - 3 - 0,62.50%
Weezing Aerodactyl,6,5 - 1 - 0,83.33%
Duraludon,6,3 - 3 - 0,50.00%
Darkrai,6,2 - 4 - 0,33.33%
Frosmoth Inteleon Box,5,3 - 2 - 0,60.00%
Calyrex Inteleon,5,3 - 2 - 0,60.00%
Palkia,5,3 - 2 - 0,60.00%
Zacian,5,2 - 3 - 0,40.00%
Rapid Strike Urshifu,5,1 - 4 - 0,20.00%
Dialga,4,3 - 1 - 0,75.00%
Mewtwo Gengar,4,1 - 3 - 0,25.00%
Flaaffy,3,3 - 0 - 0,100.00%
Inteleon Box,3,3 - 0 - 0,100.00%
Dragapult,3,3 - 0 - 0,100.00%
Rapid Strike Malamar,3,2 - 1 - 0,66.67%
Entei,3,2 - 1 - 0,66.67%
Hisuian Samurott,3,1 - 2 - 0,33.33%
Arcanine Zoroark,2,2 - 0 - 0,100.00%
Sableye,2,2 - 0 - 0,100.00%
Wailord,2,2 - 0 - 0,100.00%
Snorlax Cherrim,2,2 - 0 - 0,100.00%
Calyrex Palkia,2,1 - 0 - 1,50.00%
Arceus Mewtwo,2,1 - 1 - 0,50.00%
Snorlax Stall,2,1 - 1 - 0,50.00%
Omastar Archeops,2,1 - 0 - 1,50.00%
Kyurem,2,0 - 2 - 0,0.00%
Hisuian Arcanine,1,1 - 0 - 0,100.00%
Serperior,1,1 - 0 - 0,100.00%
Dracozolt,1,1 - 0 - 0,100.00%
Umbreon,1,1 - 0 - 0,100.00%
Dark Inteleon,1,1 - 0 - 0,100.00%
Snorlax,1,1 - 0 - 0,100.00%
Umbreon Urshifu,1,1 - 0 - 0,100.00%
Suicune Ludicolo,1,1 - 0 - 0,100.00%
Coalossal (Tar Generator),1,1 - 0 - 0,100.00%
Tyranitar,1,1 - 0 - 0,100.00%
Lucario,1,1 - 0 - 0,100.00%
Amazing Raikou,1,1 - 0 - 0,100.00%
Boltund Flaaffy,1,1 - 0 - 0,100.00%
Dragapult Inteleon,1,1 - 0 - 0,100.00%
Urshifu Inteleon,1,0 - 1 - 0,0.00%
Sylveon,1,0 - 1 - 0,0.00%
Zeraora,1,0 - 1 - 0,0.00%
Malamar (VMAX),1,0 - 1 - 0,0.00%
Weezing Inteleon,1,0 - 1 - 0,0.00%
Leafeon,1,0 - 1 - 0,0.00%
Articuno Inteleon,1,0 - 1 - 0,0.00%
Arceus Giratina,1,0 - 1 - 0,0.00%
