Opponent,Matches,Score,Win%
Lugia Archeops,41,15 - 25 - 1,36.59%
Mew Genesect,33,15 - 17 - 1,45.45%
Lost Zone Box,22,11 - 11 - 0,50.00%
Arceus Duraludon,17,6 - 11 - 0,35.29%
Regis,15,6 - 9 - 0,40.00%
Rayquaza LZ Box,8,5 - 3 - 0,62.50%
Giratina LZ Box,6,4 - 2 - 0,66.67%
Goodra LZ Box,6,2 - 4 - 0,33.33%
Vikavolt Regieleki,5,4 - 1 - 0,80.00%
Hisuian Zoroark,5,2 - 3 - 0,40.00%
Vikavolt,4,3 - 1 - 0,75.00%
Eternatus,4,3 - 1 - 0,75.00%
Arceus Goodra,4,2 - 2 - 0,50.00%
Other,4,1 - 3 - 0,25.00%
Kyurem Palkia,3,3 - 0 - 0,100.00%
Blissey,3,2 - 1 - 0,66.67%
Zoroark Box,3,1 - 2 - 0,33.33%
Yveltal Control,3,1 - 2 - 0,33.33%
Dialga LZ,2,1 - 1 - 0,50.00%
Flaaffy,2,1 - 1 - 0,50.00%
Lunatone Solrock,2,1 - 1 - 0,50.00%
Arceus,2,1 - 1 - 0,50.00%
Arceus Giratina,2,1 - 1 - 0,50.00%
Arceus Inteleon,1,1 - 0 - 0,100.00%
Snorlax Stall,1,1 - 0 - 0,100.00%
Frosmoth Box,1,1 - 0 - 0,100.00%
Inteleon Box,1,1 - 0 - 0,100.00%
Palkia Vikavolt,1,1 - 0 - 0,100.00%
Dialga,1,1 - 0 - 0,100.00%
Urshifu Inteleon,1,1 - 0 - 0,100.00%
Rapid Strike Urshifu,1,1 - 0 - 0,100.00%
Palkia Inteleon,1,1 - 0 - 0,100.00%
Arceus Flying Pikachu,1,1 - 0 - 0,100.00%
Arcanine Zoroark,1,0 - 1 - 0,0.00%
Arceus Aggron,1,0 - 1 - 0,0.00%
Mewtwo Lunarock,1,0 - 1 - 0,0.00%
Durant,1,0 - 1 - 0,0.00%
Shadow Rider Calyrex,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
Darkrai Weezing,1,0 - 1 - 0,0.00%
Arceus Regidrago,1,0 - 1 - 0,0.00%
