Opponent,Matches,Score,Win%
Lugia Archeops,179,63 - 109 - 7,35.20%
Mew Genesect,140,54 - 83 - 3,38.57%
Lost Zone Box,77,57 - 18 - 2,74.03%
Regis,73,43 - 28 - 2,58.90%
Arceus Duraludon,50,21 - 28 - 1,42.00%
Giratina LZ Box,46,20 - 25 - 1,43.48%
Rayquaza LZ Box,31,14 - 16 - 1,45.16%
Vikavolt Regieleki,26,16 - 9 - 1,61.54%
Other,22,15 - 5 - 2,68.18%
Kyurem Palkia,21,10 - 11 - 0,47.62%
Goodra LZ Box,20,5 - 15 - 0,25.00%
Palkia Inteleon,19,10 - 9 - 0,52.63%
Zoroark Box,18,12 - 6 - 0,66.67%
Eternatus,18,12 - 5 - 1,66.67%
Vikavolt,13,9 - 3 - 1,69.23%
Regidrago,13,4 - 9 - 0,30.77%
Arceus Goodra,12,6 - 6 - 0,50.00%
Arceus,12,6 - 6 - 0,50.00%
Mewtwo Control,10,2 - 8 - 0,20.00%
Arceus Flying Pikachu,9,5 - 4 - 0,55.56%
Hisuian Zoroark,9,3 - 6 - 0,33.33%
Yveltal Control,9,2 - 6 - 1,22.22%
Lunatone Solrock,7,3 - 4 - 0,42.86%
Arceus Inteleon,7,3 - 1 - 3,42.86%
Shadow Rider Calyrex,7,3 - 4 - 0,42.86%
Frosmoth Inteleon Box,6,4 - 1 - 1,66.67%
Blissey,6,2 - 2 - 2,33.33%
Galarian Weezing,5,5 - 0 - 0,100.00%
Weezing Aerodactyl,5,3 - 2 - 0,60.00%
Inteleon Box,4,4 - 0 - 0,100.00%
Arceus Tapu Koko,4,4 - 0 - 0,100.00%
Arceus Giratina,4,2 - 2 - 0,50.00%
Palkia,4,2 - 2 - 0,50.00%
Rotom,4,1 - 2 - 1,25.00%
Inteleon Inteleon,3,3 - 0 - 0,100.00%
Crobat Weezing,3,3 - 0 - 0,100.00%
Dialga LZ,3,2 - 1 - 0,66.67%
Palkia Vikavolt,3,1 - 2 - 0,33.33%
Snorlax Stall,3,0 - 3 - 0,0.00%
Victini,2,2 - 0 - 0,100.00%
Urshifu Inteleon,2,1 - 1 - 0,50.00%
Arceus Regidrago,2,1 - 1 - 0,50.00%
Durant,2,1 - 1 - 0,50.00%
Miltank Yveltal,2,0 - 2 - 0,0.00%
Dialga,2,0 - 2 - 0,0.00%
Arceus Mewtwo,2,0 - 0 - 2,0.00%
Clefairy,1,1 - 0 - 0,100.00%
Hisuian Arcanine,1,1 - 0 - 0,100.00%
Snorlax,1,1 - 0 - 0,100.00%
Jolteon Inteleon,1,1 - 0 - 0,100.00%
Alolan Vulpix,1,1 - 0 - 0,100.00%
Corviknight,1,1 - 0 - 0,100.00%
Clefairy Wyrdeer,1,1 - 0 - 0,100.00%
Jolteon,1,1 - 0 - 0,100.00%
Calyrex Inteleon,1,1 - 0 - 0,100.00%
Orbeetle,1,1 - 0 - 0,100.00%
Mewtwo Gengar,1,1 - 0 - 0,100.00%
Snorlax Cherrim,1,1 - 0 - 0,100.00%
Malamar (VMAX),1,1 - 0 - 0,100.00%
Pikachu,1,1 - 0 - 0,100.00%
Giratina,1,1 - 0 - 0,100.00%
Zacian,1,1 - 0 - 0,100.00%
Charizard,1,0 - 1 - 0,0.00%
Decidueye Inteleon,1,0 - 1 - 0,0.00%
Calyrex Palkia,1,0 - 1 - 0,0.00%
Leafeon Inteleon,1,0 - 1 - 0,0.00%
Kyurem,1,0 - 1 - 0,0.00%
Dragapult,1,0 - 1 - 0,0.00%
