Opponent,Matches,Score,Win%
Lugia Archeops,137,56 - 72 - 9,40.88%
Mew Genesect,100,47 - 47 - 6,47.00%
Lost Zone Box,72,50 - 19 - 3,69.44%
Arceus Duraludon,42,16 - 23 - 3,38.10%
Regis,41,24 - 17 - 0,58.54%
Rayquaza LZ Box,29,17 - 10 - 2,58.62%
Goodra LZ Box,28,13 - 15 - 0,46.43%
Eternatus,20,13 - 6 - 1,65.00%
Giratina LZ Box,20,11 - 7 - 2,55.00%
Palkia Inteleon,14,6 - 7 - 1,42.86%
Vikavolt Regieleki,13,6 - 7 - 0,46.15%
Mewtwo Control,13,6 - 7 - 0,46.15%
Kyurem Palkia,13,5 - 8 - 0,38.46%
Arceus Flying Pikachu,12,10 - 2 - 0,83.33%
Other,11,9 - 1 - 1,81.82%
Arceus,11,5 - 6 - 0,45.45%
Zoroark Box,9,7 - 2 - 0,77.78%
Arceus Tapu Koko,9,5 - 3 - 1,55.56%
Hisuian Zoroark,9,2 - 7 - 0,22.22%
Arceus Regidrago,7,4 - 3 - 0,57.14%
Arceus Goodra,7,1 - 3 - 3,14.29%
Lunatone Solrock,6,6 - 0 - 0,100.00%
Regidrago,6,5 - 1 - 0,83.33%
Shadow Rider Calyrex,6,4 - 2 - 0,66.67%
Vikavolt,6,4 - 2 - 0,66.67%
Arceus Inteleon,6,3 - 3 - 0,50.00%
Durant,5,5 - 0 - 0,100.00%
Blissey,5,4 - 1 - 0,80.00%
Inteleon Box,5,3 - 2 - 0,60.00%
Flaaffy,4,4 - 0 - 0,100.00%
Galarian Weezing,4,3 - 1 - 0,75.00%
Weezing Aerodactyl,4,2 - 2 - 0,50.00%
Duraludon,3,3 - 0 - 0,100.00%
Palkia,3,1 - 2 - 0,33.33%
Zacian,3,0 - 3 - 0,0.00%
Arceus Malamar,2,2 - 0 - 0,100.00%
Palkia Vikavolt,2,2 - 0 - 0,100.00%
Calyrex Inteleon,2,2 - 0 - 0,100.00%
Frosmoth Box,2,2 - 0 - 0,100.00%
Rapid Strike Urshifu,2,1 - 1 - 0,50.00%
Alolan Vulpix,2,1 - 1 - 0,50.00%
Yveltal Control,2,1 - 1 - 0,50.00%
Entei,2,1 - 1 - 0,50.00%
Cramorant,1,1 - 0 - 0,100.00%
Miltank,1,1 - 0 - 0,100.00%
Miltank Yveltal,1,1 - 0 - 0,100.00%
Suicune Ludicolo,1,1 - 0 - 0,100.00%
Togekiss,1,1 - 0 - 0,100.00%
Darkrai,1,1 - 0 - 0,100.00%
Snorlax Stall,1,1 - 0 - 0,100.00%
Rotom,1,1 - 0 - 0,100.00%
Samurott Inteleon,1,1 - 0 - 0,100.00%
Weezing Inteleon,1,1 - 0 - 0,100.00%
Arceus Giratina,1,0 - 1 - 0,0.00%
Kyurem,1,0 - 1 - 0,0.00%
Snorlax Cherrim,1,0 - 1 - 0,0.00%
Dragapult,1,0 - 1 - 0,0.00%
Dialga,1,0 - 1 - 0,0.00%
Rapid Strike Malamar,1,0 - 1 - 0,0.00%
Zeraora,1,0 - 1 - 0,0.00%
