Opponent,Matches,Score,Win%
Lugia Archeops,31,11 - 18 - 2,35.48%
Lost Zone Box,17,13 - 3 - 1,76.47%
Regis,12,4 - 7 - 1,33.33%
Giratina LZ Box,9,7 - 2 - 0,77.78%
Mew Genesect,8,6 - 1 - 1,75.00%
Vikavolt Regieleki,5,5 - 0 - 0,100.00%
Kyurem Palkia,5,2 - 3 - 0,40.00%
Palkia Inteleon,4,3 - 1 - 0,75.00%
Goodra LZ Box,3,3 - 0 - 0,100.00%
Mewtwo Control,3,2 - 1 - 0,66.67%
Rayquaza LZ Box,3,1 - 2 - 0,33.33%
Hisuian Samurott,2,2 - 0 - 0,100.00%
Durant,2,2 - 0 - 0,100.00%
Zoroark Box,2,2 - 0 - 0,100.00%
Arceus,2,1 - 1 - 0,50.00%
Arceus Flying Pikachu,2,1 - 1 - 0,50.00%
Arceus Duraludon,2,1 - 1 - 0,50.00%
Crobat Weezing,2,1 - 1 - 0,50.00%
Arceus Mewtwo,2,1 - 1 - 0,50.00%
Arceus Regidrago,2,0 - 2 - 0,0.00%
Arceus Goodra,2,0 - 0 - 2,0.00%
Blissey,1,1 - 0 - 0,100.00%
Lunatone Solrock,1,1 - 0 - 0,100.00%
Yveltal Control,1,1 - 0 - 0,100.00%
Weezing Aerodactyl,1,0 - 1 - 0,0.00%
Shadow Rider Calyrex,1,0 - 1 - 0,0.00%
Hisuian Zoroark,1,0 - 1 - 0,0.00%
Rapid Strike Malamar,1,0 - 1 - 0,0.00%
Eternatus,1,0 - 1 - 0,0.00%
Inteleon Box,1,0 - 1 - 0,0.00%
