Opponent,Matches,Score,Win%
Lugia Archeops,120,47 - 71 - 2,39.17%
Mew Genesect,92,40 - 52 - 0,43.48%
Lost Zone Box,73,34 - 36 - 3,46.58%
Regis,53,26 - 24 - 3,49.06%
Arceus Duraludon,47,14 - 29 - 4,29.79%
Rayquaza LZ Box,26,12 - 13 - 1,46.15%
Giratina LZ Box,24,14 - 9 - 1,58.33%
Other,21,16 - 4 - 1,76.19%
Goodra LZ Box,19,7 - 11 - 1,36.84%
Kyurem Palkia,16,8 - 8 - 0,50.00%
Eternatus,12,8 - 4 - 0,66.67%
Palkia Inteleon,12,7 - 4 - 1,58.33%
Yveltal Control,12,7 - 3 - 2,58.33%
Vikavolt Regieleki,11,7 - 4 - 0,63.64%
Vikavolt,10,7 - 3 - 0,70.00%
Arceus Flying Pikachu,10,6 - 4 - 0,60.00%
Hisuian Zoroark,10,3 - 7 - 0,30.00%
Zoroark Box,8,7 - 1 - 0,87.50%
Blissey,8,4 - 4 - 0,50.00%
Arceus Inteleon,7,3 - 4 - 0,42.86%
Galarian Weezing,6,6 - 0 - 0,100.00%
Mewtwo Control,6,3 - 3 - 0,50.00%
Arceus Tapu Koko,6,1 - 5 - 0,16.67%
Duraludon,4,4 - 0 - 0,100.00%
Arceus Regidrago,4,2 - 2 - 0,50.00%
Shadow Rider Calyrex,4,1 - 3 - 0,25.00%
Flaaffy,4,1 - 3 - 0,25.00%
Calyrex Inteleon,3,3 - 0 - 0,100.00%
Regidrago,3,2 - 1 - 0,66.67%
Lunatone Solrock,3,1 - 2 - 0,33.33%
Weezing Aerodactyl,3,1 - 2 - 0,33.33%
Articuno Inteleon,3,1 - 2 - 0,33.33%
Arceus Mewtwo,2,2 - 0 - 0,100.00%
Inteleon Box,2,2 - 0 - 0,100.00%
Dialga LZ,2,2 - 0 - 0,100.00%
Miltank Yveltal,2,2 - 0 - 0,100.00%
Arceus Goodra,2,1 - 1 - 0,50.00%
Arceus,2,1 - 1 - 0,50.00%
Dialga,2,1 - 1 - 0,50.00%
Durant,2,0 - 2 - 0,0.00%
Rotom,2,0 - 2 - 0,0.00%
Snorlax,1,1 - 0 - 0,100.00%
Samurott Weezing,1,1 - 0 - 0,100.00%
Palkia,1,1 - 0 - 0,100.00%
Hisuian Samurott,1,1 - 0 - 0,100.00%
Crobat Weezing,1,1 - 0 - 0,100.00%
Miltank,1,1 - 0 - 0,100.00%
Inteleon Inteleon,1,1 - 0 - 0,100.00%
Kyurem,1,1 - 0 - 0,100.00%
Frosmoth Inteleon Box,1,1 - 0 - 0,100.00%
Wailord,1,1 - 0 - 0,100.00%
Darkrai,1,1 - 0 - 0,100.00%
Arceus Giratina,1,1 - 0 - 0,100.00%
Jolteon Inteleon,1,1 - 0 - 0,100.00%
Arcanine Zoroark,1,0 - 1 - 0,0.00%
Tyranitar,1,0 - 0 - 1,0.00%
Dark Inteleon,1,0 - 1 - 0,0.00%
Hisuian Arcanine,1,0 - 0 - 1,0.00%
Dragapult,1,0 - 1 - 0,0.00%
Zacian,1,0 - 1 - 0,0.00%
Rapid Strike Urshifu,1,0 - 1 - 0,0.00%
Clefairy,1,0 - 1 - 0,0.00%
