Opponent,Matches,Score,Win%
Lugia Archeops,199,109 - 86 - 4,54.77%
Mew Genesect,131,70 - 57 - 4,53.44%
Lost Zone Box,77,46 - 29 - 2,59.74%
Arceus Duraludon,61,26 - 32 - 3,42.62%
Goodra LZ Box,60,23 - 34 - 3,38.33%
Regis,59,38 - 18 - 3,64.41%
Rayquaza LZ Box,44,27 - 16 - 1,61.36%
Eternatus,26,21 - 4 - 1,80.77%
Vikavolt,24,14 - 9 - 1,58.33%
Palkia Inteleon,20,11 - 7 - 2,55.00%
Arceus Flying Pikachu,18,11 - 5 - 2,61.11%
Vikavolt Regieleki,18,9 - 7 - 2,50.00%
Giratina LZ Box,16,10 - 6 - 0,62.50%
Other,15,10 - 4 - 1,66.67%
Arceus,14,7 - 7 - 0,50.00%
Arceus Tapu Koko,12,6 - 6 - 0,50.00%
Mewtwo Control,11,2 - 9 - 0,18.18%
Yveltal Control,11,2 - 7 - 2,18.18%
Arceus Inteleon,9,3 - 5 - 1,33.33%
Shadow Rider Calyrex,8,6 - 2 - 0,75.00%
Zoroark Box,8,4 - 4 - 0,50.00%
Duraludon,7,6 - 1 - 0,85.71%
Rotom,7,2 - 5 - 0,28.57%
Arceus Regidrago,6,5 - 1 - 0,83.33%
Blissey,6,3 - 2 - 1,50.00%
Regidrago,5,5 - 0 - 0,100.00%
Galarian Weezing,5,4 - 0 - 1,80.00%
Darkrai,5,4 - 1 - 0,80.00%
Durant,5,3 - 2 - 0,60.00%
Kyurem Palkia,5,3 - 2 - 0,60.00%
Zacian,5,1 - 4 - 0,20.00%
Hisuian Zoroark,5,1 - 4 - 0,20.00%
Lunatone Solrock,4,3 - 1 - 0,75.00%
Arceus Goodra,4,0 - 4 - 0,0.00%
Inteleon Box,3,3 - 0 - 0,100.00%
Calyrex Inteleon,3,2 - 1 - 0,66.67%
Palkia Vikavolt,3,2 - 1 - 0,66.67%
Hisuian Arcanine,2,2 - 0 - 0,100.00%
Clefairy,2,2 - 0 - 0,100.00%
Rapid Strike Urshifu,2,2 - 0 - 0,100.00%
Arceus Ice Rider,2,2 - 0 - 0,100.00%
Frosmoth Inteleon Box,2,2 - 0 - 0,100.00%
Dialga,2,1 - 1 - 0,50.00%
Inteleon Urshifu,2,1 - 1 - 0,50.00%
Dracozolt,1,1 - 0 - 0,100.00%
Togekiss,1,1 - 0 - 0,100.00%
Malamar (VMAX),1,1 - 0 - 0,100.00%
Boltund,1,1 - 0 - 0,100.00%
Mewtwo Gengar,1,1 - 0 - 0,100.00%
Snorlax Stall,1,1 - 0 - 0,100.00%
Kyurem,1,1 - 0 - 0,100.00%
Palkia,1,1 - 0 - 0,100.00%
Dialga LZ,1,1 - 0 - 0,100.00%
Weezing Aerodactyl,1,1 - 0 - 0,100.00%
Amazing Raikou,1,1 - 0 - 0,100.00%
Dragonite,1,1 - 0 - 0,100.00%
Arceus Giratina,1,1 - 0 - 0,100.00%
Arceus Rayquaza,1,1 - 0 - 0,100.00%
Calyrex Palkia,1,1 - 0 - 0,100.00%
Entei,1,1 - 0 - 0,100.00%
Mad Party,1,1 - 0 - 0,100.00%
Flaaffy,1,1 - 0 - 0,100.00%
Omastar Archeops,1,0 - 1 - 0,0.00%
Amazing Kyogre,1,0 - 0 - 1,0.00%
Arcanine Zoroark,1,0 - 1 - 0,0.00%
Suicune Ludicolo,1,0 - 1 - 0,0.00%
Hisuian Samurott,1,0 - 1 - 0,0.00%
Calyrex Alcremie,1,0 - 1 - 0,0.00%
