Opponent,Matches,Score,Win%
Lugia Archeops,256,100 - 153 - 3,39.06%
Mew Genesect,152,82 - 66 - 4,53.95%
Lost Zone Box,106,62 - 42 - 2,58.49%
Arceus Duraludon,80,39 - 40 - 1,48.75%
Regis,74,44 - 30 - 0,59.46%
Goodra LZ Box,64,26 - 38 - 0,40.63%
Rayquaza LZ Box,62,27 - 34 - 1,43.55%
Giratina LZ Box,40,19 - 20 - 1,47.50%
Vikavolt,36,27 - 9 - 0,75.00%
Eternatus,31,19 - 11 - 1,61.29%
Palkia Inteleon,29,12 - 16 - 1,41.38%
Other,25,18 - 7 - 0,72.00%
Arceus Flying Pikachu,23,16 - 7 - 0,69.57%
Vikavolt Regieleki,23,12 - 11 - 0,52.17%
Arceus,18,9 - 9 - 0,50.00%
Zoroark Box,15,5 - 10 - 0,33.33%
Arceus Tapu Koko,14,7 - 7 - 0,50.00%
Arceus Goodra,12,6 - 6 - 0,50.00%
Arceus Inteleon,11,6 - 5 - 0,54.55%
Hisuian Zoroark,9,4 - 5 - 0,44.44%
Blissey,9,4 - 5 - 0,44.44%
Durant,8,8 - 0 - 0,100.00%
Shadow Rider Calyrex,8,5 - 3 - 0,62.50%
Kyurem Palkia,8,4 - 4 - 0,50.00%
Mewtwo Control,8,3 - 5 - 0,37.50%
Yveltal Control,7,5 - 2 - 0,71.43%
Regidrago,7,2 - 5 - 0,28.57%
Lunatone Solrock,6,1 - 4 - 1,16.67%
Duraludon,5,3 - 2 - 0,60.00%
Calyrex Inteleon,4,4 - 0 - 0,100.00%
Crobat Weezing,4,3 - 1 - 0,75.00%
Flaaffy,4,3 - 1 - 0,75.00%
Darkrai,4,2 - 2 - 0,50.00%
Zacian,4,2 - 1 - 1,50.00%
Inteleon Box,4,1 - 3 - 0,25.00%
Rotom,3,3 - 0 - 0,100.00%
Dialga,3,3 - 0 - 0,100.00%
Orbeetle,3,3 - 0 - 0,100.00%
Weezing Aerodactyl,3,2 - 1 - 0,66.67%
Frosmoth Inteleon Box,3,2 - 1 - 0,66.67%
Clefairy,2,2 - 0 - 0,100.00%
Galarian Weezing,2,2 - 0 - 0,100.00%
Serperior,2,2 - 0 - 0,100.00%
Arceus Mewtwo,2,1 - 1 - 0,50.00%
Arceus Regidrago,2,1 - 1 - 0,50.00%
Mewtwo Gengar,2,1 - 1 - 0,50.00%
Arceus Giratina,2,1 - 1 - 0,50.00%
Sableye,1,1 - 0 - 0,100.00%
Entei,1,1 - 0 - 0,100.00%
Palkia,1,1 - 0 - 0,100.00%
Rapid Strike Urshifu,1,1 - 0 - 0,100.00%
Dragapult,1,1 - 0 - 0,100.00%
Urshifu Inteleon,1,1 - 0 - 0,100.00%
Giratina,1,1 - 0 - 0,100.00%
Gengar,1,1 - 0 - 0,100.00%
Dracozolt,1,1 - 0 - 0,100.00%
Hisuian Samurott,1,1 - 0 - 0,100.00%
Inteleon Inteleon,1,1 - 0 - 0,100.00%
Leafeon,1,1 - 0 - 0,100.00%
Miltank,1,1 - 0 - 0,100.00%
Palkia Vikavolt,1,0 - 1 - 0,0.00%
Mad Party,1,0 - 1 - 0,0.00%
Leafeon Inteleon,1,0 - 1 - 0,0.00%
Rapid Strike Malamar,1,0 - 1 - 0,0.00%
Arceus Ice Rider,1,0 - 1 - 0,0.00%
Inteleon Urshifu,1,0 - 1 - 0,0.00%
