Opponent,Matches,Score,Win%
Lugia Archeops,19,9 - 9 - 1,47.37%
Regis,12,5 - 4 - 3,41.67%
Lost Zone Box,12,4 - 8 - 0,33.33%
Arceus Duraludon,10,0 - 10 - 0,0.00%
Mew Genesect,9,3 - 6 - 0,33.33%
Kyurem Palkia,4,2 - 2 - 0,50.00%
Eternatus,4,1 - 3 - 0,25.00%
Other,3,3 - 0 - 0,100.00%
Arceus Regidrago,3,2 - 1 - 0,66.67%
Zoroark Box,3,1 - 2 - 0,33.33%
Palkia Inteleon,3,0 - 3 - 0,0.00%
Goodra LZ Box,2,2 - 0 - 0,100.00%
Shadow Rider Calyrex,2,1 - 1 - 0,50.00%
Rayquaza LZ Box,2,0 - 2 - 0,0.00%
Mewtwo Control,1,1 - 0 - 0,100.00%
Weezing Aerodactyl,1,1 - 0 - 0,100.00%
Durant,1,1 - 0 - 0,100.00%
Frosmoth Box,1,1 - 0 - 0,100.00%
Arceus Flying Pikachu,1,1 - 0 - 0,100.00%
Giratina LZ Box,1,1 - 0 - 0,100.00%
Yveltal Control,1,1 - 0 - 0,100.00%
Galarian Weezing,1,0 - 1 - 0,0.00%
Palkia Vikavolt,1,0 - 1 - 0,0.00%
Vikavolt Regieleki,1,0 - 1 - 0,0.00%
Inteleon Box,1,0 - 1 - 0,0.00%
Mewtwo Gengar,1,0 - 1 - 0,0.00%
Orbeetle,1,0 - 1 - 0,0.00%
