Opponent,Matches,Score,Win%
Lugia Archeops,164,60 - 100 - 4,36.59%
Mew Genesect,105,47 - 55 - 3,44.76%
Lost Zone Box,77,48 - 29 - 0,62.34%
Regis,59,19 - 38 - 2,32.20%
Arceus Duraludon,53,15 - 38 - 0,28.30%
Giratina LZ Box,35,9 - 25 - 1,25.71%
Goodra LZ Box,27,13 - 13 - 1,48.15%
Rayquaza LZ Box,27,8 - 17 - 2,29.63%
Other,23,8 - 13 - 2,34.78%
Blissey,16,8 - 8 - 0,50.00%
Eternatus,15,7 - 6 - 2,46.67%
Arceus Flying Pikachu,14,6 - 6 - 2,42.86%
Zoroark Box,14,5 - 9 - 0,35.71%
Vikavolt,13,9 - 3 - 1,69.23%
Hisuian Zoroark,13,8 - 5 - 0,61.54%
Palkia Inteleon,12,8 - 4 - 0,66.67%
Duraludon,11,4 - 6 - 1,36.36%
Vikavolt Regieleki,9,8 - 1 - 0,88.89%
Arceus,9,5 - 4 - 0,55.56%
Shadow Rider Calyrex,8,6 - 2 - 0,75.00%
Arceus Regidrago,8,4 - 4 - 0,50.00%
Lunatone Solrock,8,3 - 5 - 0,37.50%
Kyurem Palkia,7,7 - 0 - 0,100.00%
Regidrago,7,3 - 4 - 0,42.86%
Mewtwo Control,7,3 - 3 - 1,42.86%
Arceus Goodra,6,2 - 2 - 2,33.33%
Arceus Tapu Koko,6,2 - 3 - 1,33.33%
Crobat Weezing,5,4 - 1 - 0,80.00%
Urshifu Inteleon,5,1 - 4 - 0,20.00%
Arceus Inteleon,5,1 - 4 - 0,20.00%
Yveltal Control,5,0 - 3 - 2,0.00%
Palkia Vikavolt,4,4 - 0 - 0,100.00%
Durant,4,4 - 0 - 0,100.00%
Flaaffy,4,2 - 2 - 0,50.00%
Inteleon Box,4,2 - 2 - 0,50.00%
Rapid Strike Malamar,4,1 - 3 - 0,25.00%
Galarian Weezing,3,3 - 0 - 0,100.00%
Weezing Aerodactyl,3,3 - 0 - 0,100.00%
Amazing Raikou,3,2 - 1 - 0,66.67%
Arceus Giratina,3,1 - 2 - 0,33.33%
Decidueye Inteleon,3,0 - 3 - 0,0.00%
Darkrai Weezing,2,2 - 0 - 0,100.00%
Hisuian Arcanine,2,1 - 1 - 0,50.00%
Calyrex Inteleon,2,1 - 1 - 0,50.00%
Rotom,2,1 - 1 - 0,50.00%
Mewtwo Gengar,2,1 - 1 - 0,50.00%
Zacian,2,1 - 1 - 0,50.00%
Rapid Strike Urshifu,2,0 - 2 - 0,0.00%
Amazing Reshiram,1,1 - 0 - 0,100.00%
Dracozolt,1,1 - 0 - 0,100.00%
Samurott Weezing,1,1 - 0 - 0,100.00%
Dialga LZ,1,1 - 0 - 0,100.00%
Arceus Mewtwo,1,0 - 1 - 0,0.00%
Kyurem,1,0 - 1 - 0,0.00%
Ice Rider Calyrex,1,0 - 1 - 0,0.00%
Inteleon,1,0 - 1 - 0,0.00%
Snorlax Stall,1,0 - 1 - 0,0.00%
Omastar Archeops,1,0 - 1 - 0,0.00%
Alolan Vulpix,1,0 - 1 - 0,0.00%
Arcanine Zoroark,1,0 - 1 - 0,0.00%
Darkrai,1,0 - 1 - 0,0.00%
Inteleon Inteleon,1,0 - 1 - 0,0.00%
Arceus Flygon,1,0 - 1 - 0,0.00%
Calyrex Alcremie,1,0 - 1 - 0,0.00%
