Opponent,Matches,Score,Win%
Lugia Archeops,15,3 - 12 - 0,20.00%
Giratina LZ Box,3,2 - 1 - 0,66.67%
Mew Genesect,3,1 - 2 - 0,33.33%
Arceus Duraludon,2,1 - 1 - 0,50.00%
Zoroark Box,2,1 - 1 - 0,50.00%
Vikavolt Regieleki,2,0 - 2 - 0,0.00%
Lost Zone Box,2,0 - 2 - 0,0.00%
Regis,2,0 - 2 - 0,0.00%
Arceus Goodra,1,1 - 0 - 0,100.00%
Eternatus,1,1 - 0 - 0,100.00%
Pachirisu Honchkrow,1,0 - 1 - 0,0.00%
Palkia Inteleon,1,0 - 1 - 0,0.00%
Other,1,0 - 1 - 0,0.00%
Victini,1,0 - 1 - 0,0.00%
Hisuian Zoroark,1,0 - 1 - 0,0.00%
Vikavolt,1,0 - 1 - 0,0.00%
