Opponent,Matches,Score,Win%
Lugia Archeops,10,2 - 8 - 0,20.00%
Regis,9,6 - 3 - 0,66.67%
Giratina LZ Box,6,3 - 3 - 0,50.00%
Mew Genesect,4,3 - 1 - 0,75.00%
Hisuian Zoroark,4,2 - 2 - 0,50.00%
Other,4,1 - 3 - 0,25.00%
Arceus Duraludon,4,1 - 3 - 0,25.00%
Kyurem Palkia,4,1 - 3 - 0,25.00%
Lost Zone Box,3,1 - 2 - 0,33.33%
Rayquaza LZ Box,3,0 - 3 - 0,0.00%
Clefairy,2,1 - 1 - 0,50.00%
Arceus,2,0 - 2 - 0,0.00%
Inteleon Box,2,0 - 2 - 0,0.00%
Vikavolt Regieleki,2,0 - 2 - 0,0.00%
Arceus Tapu Koko,2,0 - 2 - 0,0.00%
Machamp,1,1 - 0 - 0,100.00%
Calyrex Inteleon,1,1 - 0 - 0,100.00%
Zoroark Box,1,1 - 0 - 0,100.00%
Arceus Regidrago,1,1 - 0 - 0,100.00%
Arceus Goodra,1,0 - 1 - 0,0.00%
Serperior,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Wailord,1,0 - 0 - 1,0.00%
Crobat Weezing,1,0 - 1 - 0,0.00%
Weezing Aerodactyl,1,0 - 1 - 0,0.00%
Palkia Vikavolt,1,0 - 1 - 0,0.00%
Palkia Inteleon,1,0 - 1 - 0,0.00%
Goodra LZ Box,1,0 - 1 - 0,0.00%
