Opponent,Matches,Score,Win%
Lugia Archeops,95,33 - 58 - 4,34.74%
Mew Genesect,62,37 - 23 - 2,59.68%
Lost Zone Box,49,29 - 20 - 0,59.18%
Regis,32,19 - 13 - 0,59.38%
Arceus Duraludon,26,4 - 20 - 2,15.38%
Giratina LZ Box,25,12 - 13 - 0,48.00%
Rayquaza LZ Box,20,14 - 6 - 0,70.00%
Kyurem Palkia,13,5 - 8 - 0,38.46%
Eternatus,10,4 - 6 - 0,40.00%
Arceus Flying Pikachu,10,3 - 6 - 1,30.00%
Other,9,8 - 1 - 0,88.89%
Palkia Inteleon,9,2 - 7 - 0,22.22%
Vikavolt Regieleki,8,2 - 6 - 0,25.00%
Yveltal Control,7,6 - 1 - 0,85.71%
Vikavolt,7,5 - 2 - 0,71.43%
Goodra LZ Box,7,4 - 3 - 0,57.14%
Zoroark Box,5,3 - 2 - 0,60.00%
Blissey,5,1 - 4 - 0,20.00%
Hisuian Zoroark,5,0 - 4 - 1,0.00%
Durant,4,3 - 1 - 0,75.00%
Weezing Aerodactyl,4,2 - 1 - 1,50.00%
Arceus,4,1 - 3 - 0,25.00%
Crobat Weezing,4,1 - 1 - 2,25.00%
Mewtwo Control,4,1 - 2 - 1,25.00%
Arceus Goodra,3,0 - 3 - 0,0.00%
Mewtwo Gengar,2,2 - 0 - 0,100.00%
Shadow Rider Calyrex,2,2 - 0 - 0,100.00%
Weezing Inteleon,2,2 - 0 - 0,100.00%
Galarian Weezing,2,2 - 0 - 0,100.00%
Rapid Strike Urshifu,2,1 - 1 - 0,50.00%
Arceus Mewtwo,2,1 - 1 - 0,50.00%
Lunatone Solrock,2,1 - 1 - 0,50.00%
Flaaffy,2,1 - 1 - 0,50.00%
Rotom,1,1 - 0 - 0,100.00%
Clefairy,1,1 - 0 - 0,100.00%
Dhelmise Rillaboom,1,1 - 0 - 0,100.00%
Frosmoth Inteleon Box,1,1 - 0 - 0,100.00%
Dragapult,1,1 - 0 - 0,100.00%
Duraludon,1,1 - 0 - 0,100.00%
Darkrai,1,1 - 0 - 0,100.00%
Mad Party,1,1 - 0 - 0,100.00%
Arceus Regidrago,1,0 - 1 - 0,0.00%
Regidrago,1,0 - 1 - 0,0.00%
Dark Inteleon,1,0 - 1 - 0,0.00%
Togekiss,1,0 - 1 - 0,0.00%
Urshifu Inteleon,1,0 - 1 - 0,0.00%
Zacian,1,0 - 1 - 0,0.00%
Hisuian Arcanine,1,0 - 1 - 0,0.00%
Malamar (VMAX),1,0 - 1 - 0,0.00%
