Opponent,Matches,Score,Win%
Lugia Archeops,50,14 - 36 - 0,28.00%
Mew Genesect,31,15 - 16 - 0,48.39%
Lost Zone Box,22,4 - 18 - 0,18.18%
Regis,21,5 - 16 - 0,23.81%
Rayquaza LZ Box,15,2 - 13 - 0,13.33%
Goodra LZ Box,14,5 - 9 - 0,35.71%
Arceus Duraludon,13,7 - 6 - 0,53.85%
Giratina LZ Box,9,3 - 6 - 0,33.33%
Other,7,4 - 2 - 1,57.14%
Vikavolt Regieleki,6,5 - 1 - 0,83.33%
Arceus Flying Pikachu,6,4 - 2 - 0,66.67%
Kyurem Palkia,6,2 - 4 - 0,33.33%
Shadow Rider Calyrex,5,3 - 2 - 0,60.00%
Palkia Inteleon,5,1 - 4 - 0,20.00%
Arceus Tapu Koko,5,1 - 4 - 0,20.00%
Arceus,4,2 - 2 - 0,50.00%
Calyrex Inteleon,4,2 - 2 - 0,50.00%
Eternatus,4,0 - 4 - 0,0.00%
Mewtwo Control,3,2 - 1 - 0,66.67%
Hisuian Zoroark,2,2 - 0 - 0,100.00%
Lunatone Solrock,2,1 - 1 - 0,50.00%
Regidrago,2,1 - 1 - 0,50.00%
Frosmoth Inteleon Box,2,1 - 1 - 0,50.00%
Palkia,2,1 - 1 - 0,50.00%
Galarian Weezing,2,1 - 1 - 0,50.00%
Durant,2,0 - 2 - 0,0.00%
Zoroark Box,2,0 - 2 - 0,0.00%
Blissey,1,1 - 0 - 0,100.00%
Mimikyu,1,1 - 0 - 0,100.00%
Entei Ludicolo,1,1 - 0 - 0,100.00%
Arceus Ice Rider,1,1 - 0 - 0,100.00%
Flaaffy,1,0 - 1 - 0,0.00%
Palkia Vikavolt,1,0 - 1 - 0,0.00%
Hisuian Arcanine,1,0 - 1 - 0,0.00%
Arceus Inteleon,1,0 - 1 - 0,0.00%
Leafeon Inteleon,1,0 - 1 - 0,0.00%
Snorlax,1,0 - 1 - 0,0.00%
Dracozolt,1,0 - 1 - 0,0.00%
Arceus Regidrago,1,0 - 1 - 0,0.00%
Snorlax Cherrim,1,0 - 1 - 0,0.00%
Miltank Yveltal,1,0 - 1 - 0,0.00%
Zacian,1,0 - 1 - 0,0.00%
Crobat Weezing,1,0 - 1 - 0,0.00%
Leafeon,1,0 - 0 - 1,0.00%
Inteleon Urshifu,1,0 - 1 - 0,0.00%
