Opponent,Matches,Score,Win%
Mew Genesect,18,8 - 10 - 0,44.44%
Lugia Archeops,17,4 - 12 - 1,23.53%
Lost Zone Box,5,1 - 4 - 0,20.00%
Goodra LZ Box,4,2 - 2 - 0,50.00%
Regis,2,1 - 1 - 0,50.00%
Zoroark Box,2,1 - 1 - 0,50.00%
Yveltal Control,2,1 - 0 - 1,50.00%
Blissey,2,0 - 2 - 0,0.00%
Giratina LZ Box,2,0 - 2 - 0,0.00%
Arceus Duraludon,1,1 - 0 - 0,100.00%
Arceus Giratina,1,1 - 0 - 0,100.00%
Eternatus,1,1 - 0 - 0,100.00%
Kyurem Palkia,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Other,1,0 - 1 - 0,0.00%
Rayquaza LZ Box,1,0 - 1 - 0,0.00%
Vikavolt Regieleki,1,0 - 0 - 1,0.00%
