Opponent,Matches,Score,Win%
Lugia Archeops,12,3 - 8 - 1,25.00%
Lost Zone Box,4,2 - 2 - 0,50.00%
Mew Genesect,4,0 - 4 - 0,0.00%
Blissey,3,3 - 0 - 0,100.00%
Rapid Strike Malamar,3,3 - 0 - 0,100.00%
Other,3,1 - 2 - 0,33.33%
Kyurem Palkia,2,2 - 0 - 0,100.00%
Urshifu Inteleon,2,1 - 1 - 0,50.00%
Giratina LZ Box,2,1 - 1 - 0,50.00%
Rayquaza LZ Box,2,0 - 2 - 0,0.00%
Arceus Goodra,1,1 - 0 - 0,100.00%
Palkia Vikavolt,1,1 - 0 - 0,100.00%
Vikavolt Regieleki,1,1 - 0 - 0,100.00%
Palkia Inteleon,1,1 - 0 - 0,100.00%
Regis,1,0 - 1 - 0,0.00%
Goodra LZ Box,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
