Opponent,Matches,Score,Win%
Lugia Archeops,25,0 - 25 - 0,0.00%
Mew Genesect,22,12 - 10 - 0,54.55%
Regis,15,9 - 4 - 2,60.00%
Lost Zone Box,13,6 - 7 - 0,46.15%
Giratina LZ Box,9,3 - 6 - 0,33.33%
Rayquaza LZ Box,9,3 - 6 - 0,33.33%
Arceus Duraludon,8,4 - 4 - 0,50.00%
Goodra LZ Box,5,4 - 1 - 0,80.00%
Mewtwo Control,3,2 - 1 - 0,66.67%
Arceus Goodra,3,1 - 2 - 0,33.33%
Other,3,1 - 2 - 0,33.33%
Palkia Inteleon,2,2 - 0 - 0,100.00%
Zoroark Box,2,2 - 0 - 0,100.00%
Galarian Weezing,2,2 - 0 - 0,100.00%
Vikavolt Regieleki,2,1 - 1 - 0,50.00%
Arceus Giratina,2,1 - 1 - 0,50.00%
Eternatus,2,1 - 1 - 0,50.00%
Arceus Regidrago,2,0 - 2 - 0,0.00%
Yveltal Control,2,0 - 2 - 0,0.00%
Hisuian Goodra,1,1 - 0 - 0,100.00%
Alolan Vulpix,1,1 - 0 - 0,100.00%
Zeraora,1,1 - 0 - 0,100.00%
Regidrago,1,1 - 0 - 0,100.00%
Shadow Rider Calyrex,1,1 - 0 - 0,100.00%
Rapid Strike Urshifu,1,1 - 0 - 0,100.00%
Hisuian Zoroark,1,1 - 0 - 0,100.00%
Arcanine Zoroark,1,1 - 0 - 0,100.00%
Vikavolt,1,1 - 0 - 0,100.00%
Durant,1,1 - 0 - 0,100.00%
Hisuian Arcanine,1,0 - 1 - 0,0.00%
Hisuian Samurott,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Snorlax Stall,1,0 - 1 - 0,0.00%
Dialga,1,0 - 1 - 0,0.00%
Zacian,1,0 - 1 - 0,0.00%
Rotom,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
Flaaffy,1,0 - 1 - 0,0.00%
Blissey,1,0 - 1 - 0,0.00%
