Opponent,Matches,Score,Win%
Lugia Archeops,63,23 - 38 - 2,36.51%
Lost Zone Box,30,11 - 16 - 3,36.67%
Mew Genesect,30,10 - 19 - 1,33.33%
Arceus Duraludon,23,14 - 9 - 0,60.87%
Regis,23,9 - 13 - 1,39.13%
Goodra LZ Box,16,8 - 8 - 0,50.00%
Rayquaza LZ Box,9,4 - 5 - 0,44.44%
Other,8,5 - 3 - 0,62.50%
Giratina LZ Box,8,4 - 4 - 0,50.00%
Vikavolt,6,2 - 4 - 0,33.33%
Palkia Inteleon,5,3 - 2 - 0,60.00%
Eternatus,5,1 - 4 - 0,20.00%
Kyurem Palkia,4,3 - 1 - 0,75.00%
Arceus Flying Pikachu,4,1 - 3 - 0,25.00%
Regidrago,3,2 - 0 - 1,66.67%
Zoroark Box,3,2 - 1 - 0,66.67%
Durant,3,2 - 1 - 0,66.67%
Vikavolt Regieleki,3,1 - 2 - 0,33.33%
Lunatone Solrock,3,1 - 2 - 0,33.33%
Arceus,3,0 - 3 - 0,0.00%
Arceus Goodra,2,2 - 0 - 0,100.00%
Duraludon,2,2 - 0 - 0,100.00%
Shadow Rider Calyrex,2,2 - 0 - 0,100.00%
Arceus Regidrago,2,1 - 1 - 0,50.00%
Arceus Tapu Koko,2,1 - 1 - 0,50.00%
Mewtwo Control,2,1 - 0 - 1,50.00%
Galarian Weezing,2,1 - 1 - 0,50.00%
Dialga,2,1 - 1 - 0,50.00%
Mewtwo Gengar,1,1 - 0 - 0,100.00%
Arceus Inteleon,1,1 - 0 - 0,100.00%
Frosmoth Inteleon Box,1,1 - 0 - 0,100.00%
Rotom,1,1 - 0 - 0,100.00%
Dialga LZ,1,1 - 0 - 0,100.00%
Palkia Vikavolt,1,1 - 0 - 0,100.00%
Machamp,1,0 - 1 - 0,0.00%
Alolan Vulpix,1,0 - 1 - 0,0.00%
Inteleon Box,1,0 - 1 - 0,0.00%
Hisuian Zoroark,1,0 - 1 - 0,0.00%
Arceus Giratina,1,0 - 1 - 0,0.00%
Palkia,1,0 - 1 - 0,0.00%
