Opponent,Matches,Score,Win%
Mew Genesect,7,2 - 5 - 0,28.57%
Lugia Archeops,5,3 - 2 - 0,60.00%
Regis,5,0 - 5 - 0,0.00%
Arceus Duraludon,4,0 - 4 - 0,0.00%
Rayquaza LZ Box,2,1 - 1 - 0,50.00%
Lost Zone Box,2,1 - 1 - 0,50.00%
Goodra LZ Box,2,0 - 2 - 0,0.00%
Darkrai,1,1 - 0 - 0,100.00%
Dark Inteleon,1,1 - 0 - 0,100.00%
Giratina LZ Box,1,1 - 0 - 0,100.00%
Durant,1,1 - 0 - 0,100.00%
Zacian,1,1 - 0 - 0,100.00%
Other,1,1 - 0 - 0,100.00%
Regidrago,1,0 - 0 - 1,0.00%
Blissey,1,0 - 1 - 0,0.00%
Arceus Flying Pikachu,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
Vikavolt,1,0 - 1 - 0,0.00%
Duraludon,1,0 - 1 - 0,0.00%
Arceus,1,0 - 1 - 0,0.00%
Yveltal Control,1,0 - 1 - 0,0.00%
