Opponent,Matches,Score,Win%
Mew Genesect,9,3 - 6 - 0,33.33%
Lugia Archeops,8,0 - 8 - 0,0.00%
Lost Zone Box,6,4 - 2 - 0,66.67%
Arceus Duraludon,4,2 - 2 - 0,50.00%
Regis,3,2 - 1 - 0,66.67%
Rayquaza LZ Box,3,2 - 1 - 0,66.67%
Vikavolt,2,2 - 0 - 0,100.00%
Kyurem Palkia,2,0 - 2 - 0,0.00%
Palkia Inteleon,2,0 - 2 - 0,0.00%
Serperior,1,1 - 0 - 0,100.00%
Durant,1,1 - 0 - 0,100.00%
Goodra LZ Box,1,1 - 0 - 0,100.00%
Arcanine Zoroark,1,1 - 0 - 0,100.00%
Miltank,1,1 - 0 - 0,100.00%
Zacian,1,1 - 0 - 0,100.00%
Lunatone Solrock,1,1 - 0 - 0,100.00%
Victini,1,0 - 1 - 0,0.00%
Giratina LZ Box,1,0 - 1 - 0,0.00%
Yveltal Control,1,0 - 1 - 0,0.00%
Calyrex Inteleon,1,0 - 1 - 0,0.00%
Eternatus,1,0 - 1 - 0,0.00%
Shadow Rider Calyrex,1,0 - 1 - 0,0.00%
Arceus Flying Pikachu,1,0 - 1 - 0,0.00%
