Opponent,Matches,Score,Win%
Lost Zone Box,5,2 - 3 - 0,40.00%
Vikavolt,5,2 - 3 - 0,40.00%
Lugia Archeops,4,1 - 3 - 0,25.00%
Mew Genesect,3,3 - 0 - 0,100.00%
Regis,3,2 - 1 - 0,66.67%
Arceus Flying Pikachu,3,0 - 3 - 0,0.00%
Kyurem Palkia,2,0 - 2 - 0,0.00%
Arceus Duraludon,2,0 - 2 - 0,0.00%
Other,2,0 - 2 - 0,0.00%
Goodra LZ Box,1,1 - 0 - 0,100.00%
Weezing Aerodactyl,1,1 - 0 - 0,100.00%
Arceus Inteleon,1,1 - 0 - 0,100.00%
Durant,1,1 - 0 - 0,100.00%
Arceus Regidrago,1,1 - 0 - 0,100.00%
Miltank Yveltal,1,1 - 0 - 0,100.00%
Arceus Goodra,1,1 - 0 - 0,100.00%
Flaaffy,1,0 - 1 - 0,0.00%
Crobat Weezing,1,0 - 1 - 0,0.00%
Palkia,1,0 - 1 - 0,0.00%
Palkia Vikavolt,1,0 - 1 - 0,0.00%
Arceus,1,0 - 1 - 0,0.00%
Eternatus,1,0 - 1 - 0,0.00%
Rayquaza LZ Box,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Mewtwo Control,1,0 - 1 - 0,0.00%
