Opponent,Matches,Score,Win%
Lugia Archeops,91,41 - 50 - 0,45.05%
Mew Genesect,70,26 - 44 - 0,37.14%
Lost Zone Box,40,12 - 24 - 4,30.00%
Arceus Duraludon,31,12 - 19 - 0,38.71%
Rayquaza LZ Box,23,9 - 14 - 0,39.13%
Regis,22,13 - 8 - 1,59.09%
Goodra LZ Box,21,8 - 13 - 0,38.10%
Eternatus,13,3 - 10 - 0,23.08%
Palkia Inteleon,12,3 - 9 - 0,25.00%
Blissey,11,6 - 4 - 1,54.55%
Other,11,4 - 6 - 1,36.36%
Duraludon,10,5 - 5 - 0,50.00%
Vikavolt Regieleki,9,4 - 5 - 0,44.44%
Kyurem Palkia,9,2 - 7 - 0,22.22%
Giratina LZ Box,8,4 - 4 - 0,50.00%
Yveltal Control,8,3 - 5 - 0,37.50%
Arceus Tapu Koko,7,1 - 6 - 0,14.29%
Arceus Flying Pikachu,6,3 - 3 - 0,50.00%
Arceus,5,2 - 3 - 0,40.00%
Hisuian Zoroark,5,2 - 3 - 0,40.00%
Vikavolt,4,1 - 3 - 0,25.00%
Arceus Regidrago,4,0 - 4 - 0,0.00%
Shadow Rider Calyrex,3,2 - 1 - 0,66.67%
Lunatone Solrock,3,1 - 2 - 0,33.33%
Zoroark Box,3,0 - 2 - 1,0.00%
Arceus Inteleon,3,0 - 3 - 0,0.00%
Frosmoth Inteleon Box,3,0 - 3 - 0,0.00%
Snorlax Cherrim,2,2 - 0 - 0,100.00%
Galarian Weezing,2,1 - 1 - 0,50.00%
Dialga,2,0 - 2 - 0,0.00%
Regidrago,2,0 - 2 - 0,0.00%
Mewtwo Control,2,0 - 2 - 0,0.00%
Rotom,2,0 - 2 - 0,0.00%
Durant,2,0 - 2 - 0,0.00%
Hisuian Arcanine,1,1 - 0 - 0,100.00%
Hisuian Samurott,1,1 - 0 - 0,100.00%
Urshifu Inteleon,1,1 - 0 - 0,100.00%
Charizard,1,1 - 0 - 0,100.00%
Morpeko,1,1 - 0 - 0,100.00%
Samurott Inteleon,1,1 - 0 - 0,100.00%
Dracozolt,1,1 - 0 - 0,100.00%
Grimmsnarl,1,1 - 0 - 0,100.00%
Suicune Ludicolo,1,1 - 0 - 0,100.00%
Mad Party,1,1 - 0 - 0,100.00%
Blaziken Zeraora,1,1 - 0 - 0,100.00%
Crobat Weezing,1,0 - 1 - 0,0.00%
Calyrex Inteleon,1,0 - 1 - 0,0.00%
Palkia Vikavolt,1,0 - 1 - 0,0.00%
Zeraora,1,0 - 1 - 0,0.00%
Gengar,1,0 - 1 - 0,0.00%
