Opponent,Matches,Score,Win%
Lugia Archeops,6,2 - 4 - 0,33.33%
Mew Genesect,4,4 - 0 - 0,100.00%
Giratina LZ Box,4,3 - 1 - 0,75.00%
Arceus Flying Pikachu,3,1 - 2 - 0,33.33%
Arceus Duraludon,2,2 - 0 - 0,100.00%
Goodra LZ Box,2,1 - 1 - 0,50.00%
Rayquaza LZ Box,2,1 - 1 - 0,50.00%
Durant,2,1 - 1 - 0,50.00%
Arceus Inteleon,2,1 - 1 - 0,50.00%
Regis,2,0 - 2 - 0,0.00%
Lost Zone Box,1,1 - 0 - 0,100.00%
Vikavolt,1,1 - 0 - 0,100.00%
Shadow Rider Calyrex,1,1 - 0 - 0,100.00%
Mewtwo Control,1,1 - 0 - 0,100.00%
Vikavolt Regieleki,1,1 - 0 - 0,100.00%
Rapid Strike Urshifu,1,0 - 1 - 0,0.00%
Arceus,1,0 - 1 - 0,0.00%
Zoroark Box,1,0 - 1 - 0,0.00%
Palkia Inteleon,1,0 - 1 - 0,0.00%
Eternatus,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
