Opponent,Matches,Score,Win%
Lugia Archeops,545,253 - 274 - 18,46.42%
Mew Genesect,313,176 - 131 - 6,56.23%
Lost Zone Box,237,117 - 110 - 10,49.37%
Regis,177,96 - 71 - 10,54.24%
Arceus Duraludon,169,70 - 95 - 4,41.42%
Rayquaza LZ Box,121,67 - 47 - 7,55.37%
Goodra LZ Box,121,55 - 64 - 2,45.45%
Eternatus,94,45 - 45 - 4,47.87%
Giratina LZ Box,69,35 - 31 - 3,50.72%
Vikavolt,62,38 - 23 - 1,61.29%
Palkia Inteleon,57,27 - 28 - 2,47.37%
Other,56,41 - 15 - 0,73.21%
Arceus Flying Pikachu,49,16 - 30 - 3,32.65%
Vikavolt Regieleki,47,25 - 21 - 1,53.19%
Mewtwo Control,38,12 - 25 - 1,31.58%
Zoroark Box,37,30 - 7 - 0,81.08%
Arceus,31,11 - 19 - 1,35.48%
Arceus Tapu Koko,26,4 - 21 - 1,15.38%
Hisuian Zoroark,24,9 - 13 - 2,37.50%
Kyurem Palkia,21,9 - 10 - 2,42.86%
Arceus Inteleon,20,6 - 13 - 1,30.00%
Arceus Goodra,18,5 - 12 - 1,27.78%
Yveltal Control,16,11 - 5 - 0,68.75%
Regidrago,16,9 - 7 - 0,56.25%
Shadow Rider Calyrex,16,9 - 7 - 0,56.25%
Durant,15,10 - 4 - 1,66.67%
Blissey,15,6 - 7 - 2,40.00%
Galarian Weezing,14,13 - 1 - 0,92.86%
Duraludon,13,10 - 3 - 0,76.92%
Lunatone Solrock,13,9 - 4 - 0,69.23%
Palkia Vikavolt,13,5 - 7 - 1,38.46%
Arceus Regidrago,12,4 - 8 - 0,33.33%
Rotom,10,8 - 2 - 0,80.00%
Crobat Weezing,10,6 - 4 - 0,60.00%
Palkia,10,4 - 6 - 0,40.00%
Zacian,7,3 - 4 - 0,42.86%
Mewtwo Gengar,6,5 - 1 - 0,83.33%
Calyrex Inteleon,6,2 - 4 - 0,33.33%
Inteleon Box,5,4 - 0 - 1,80.00%
Dialga,5,4 - 1 - 0,80.00%
Frosmoth Inteleon Box,5,4 - 1 - 0,80.00%
Urshifu Inteleon,5,4 - 1 - 0,80.00%
Flaaffy,5,3 - 2 - 0,60.00%
Darkrai,4,4 - 0 - 0,100.00%
Omastar Archeops,4,3 - 1 - 0,75.00%
Articuno Inteleon,4,3 - 1 - 0,75.00%
Rapid Strike Urshifu,4,2 - 2 - 0,50.00%
Arceus Giratina,4,1 - 3 - 0,25.00%
Inteleon Inteleon,3,2 - 1 - 0,66.67%
Alolan Vulpix,3,2 - 1 - 0,66.67%
Hisuian Goodra,3,2 - 1 - 0,66.67%
Gengar,3,1 - 2 - 0,33.33%
Pachirisu Honchkrow,2,2 - 0 - 0,100.00%
Ice Rider Calyrex,2,2 - 0 - 0,100.00%
Frosmoth Box,2,2 - 0 - 0,100.00%
Orbeetle,2,2 - 0 - 0,100.00%
Giratina,2,2 - 0 - 0,100.00%
Hisuian Samurott,2,2 - 0 - 0,100.00%
Samurott Weezing,2,1 - 1 - 0,50.00%
Arceus Aggron,2,1 - 1 - 0,50.00%
Dialga LZ,2,1 - 1 - 0,50.00%
Boltund,2,1 - 1 - 0,50.00%
Boltund Flaaffy,2,1 - 1 - 0,50.00%
Arceus Malamar,2,1 - 0 - 1,50.00%
Jolteon Inteleon,2,1 - 1 - 0,50.00%
Miltank Yveltal,2,0 - 2 - 0,0.00%
Miltank,2,0 - 2 - 0,0.00%
Snorlax Stall,2,0 - 2 - 0,0.00%
Victini,1,1 - 0 - 0,100.00%
Orbeetle (Evomancy),1,1 - 0 - 0,100.00%
Obstagoon Inteleon,1,1 - 0 - 0,100.00%
Arceus Mewtwo,1,1 - 0 - 0,100.00%
Amazing Raikou,1,1 - 0 - 0,100.00%
Galarian Obstagoon,1,1 - 0 - 0,100.00%
Weezing Aerodactyl,1,1 - 0 - 0,100.00%
Dragapult,1,1 - 0 - 0,100.00%
Entei,1,1 - 0 - 0,100.00%
Arcanine Zoroark,1,1 - 0 - 0,100.00%
Umbreon Urshifu,1,1 - 0 - 0,100.00%
Crobat,1,1 - 0 - 0,100.00%
Malamar (VMAX),1,1 - 0 - 0,100.00%
Castform,1,1 - 0 - 0,100.00%
Mad Party,1,1 - 0 - 0,100.00%
Dragapult Inteleon,1,1 - 0 - 0,100.00%
Togekiss,1,0 - 1 - 0,0.00%
Amazing Kyogre,1,0 - 0 - 1,0.00%
Suicune Ludicolo,1,0 - 1 - 0,0.00%
Charizard,1,0 - 1 - 0,0.00%
Darkrai Weezing,1,0 - 1 - 0,0.00%
