Opponent,Matches,Score,Win%
Lugia Archeops,40,16 - 24 - 0,40.00%
Lost Zone Box,26,7 - 18 - 1,26.92%
Mew Genesect,21,8 - 13 - 0,38.10%
Regis,17,4 - 13 - 0,23.53%
Arceus Duraludon,11,3 - 7 - 1,27.27%
Rayquaza LZ Box,9,0 - 9 - 0,0.00%
Goodra LZ Box,8,0 - 7 - 1,0.00%
Other,6,5 - 1 - 0,83.33%
Palkia Inteleon,5,2 - 3 - 0,40.00%
Kyurem Palkia,5,2 - 3 - 0,40.00%
Eternatus,5,2 - 3 - 0,40.00%
Zoroark Box,4,3 - 1 - 0,75.00%
Arceus Regidrago,4,3 - 1 - 0,75.00%
Blissey,4,2 - 2 - 0,50.00%
Arceus,4,1 - 3 - 0,25.00%
Giratina LZ Box,4,0 - 4 - 0,0.00%
Arceus Inteleon,4,0 - 4 - 0,0.00%
Mewtwo Control,3,3 - 0 - 0,100.00%
Durant,3,2 - 1 - 0,66.67%
Arceus Flying Pikachu,3,0 - 3 - 0,0.00%
Arceus Giratina,2,1 - 1 - 0,50.00%
Crobat Weezing,2,1 - 1 - 0,50.00%
Vikavolt,2,1 - 1 - 0,50.00%
Samurott Inteleon,2,1 - 1 - 0,50.00%
Vikavolt Regieleki,2,0 - 2 - 0,0.00%
Weezing Aerodactyl,1,1 - 0 - 0,100.00%
Darkrai,1,1 - 0 - 0,100.00%
Yveltal Control,1,1 - 0 - 0,100.00%
Calyrex Inteleon,1,1 - 0 - 0,100.00%
Mewtwo Gengar,1,1 - 0 - 0,100.00%
Dragapult,1,1 - 0 - 0,100.00%
Boltund Flaaffy,1,1 - 0 - 0,100.00%
Dialga LZ,1,1 - 0 - 0,100.00%
Rotom,1,1 - 0 - 0,100.00%
Calyrex Palkia,1,1 - 0 - 0,100.00%
Samurott Weezing,1,0 - 1 - 0,0.00%
Regidrago,1,0 - 1 - 0,0.00%
Inteleon Box,1,0 - 1 - 0,0.00%
Hisuian Zoroark,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
Arceus Malamar,1,0 - 1 - 0,0.00%
