Opponent,Matches,Score,Win%
Lugia Archeops,50,24 - 26 - 0,48.00%
Mew Genesect,40,25 - 14 - 1,62.50%
Lost Zone Box,37,10 - 26 - 1,27.03%
Regis,18,15 - 2 - 1,83.33%
Rayquaza LZ Box,15,6 - 7 - 2,40.00%
Goodra LZ Box,9,2 - 5 - 2,22.22%
Other,7,3 - 4 - 0,42.86%
Palkia Inteleon,7,3 - 4 - 0,42.86%
Arceus Duraludon,7,1 - 5 - 1,14.29%
Mewtwo Control,6,3 - 2 - 1,50.00%
Arceus Goodra,6,1 - 4 - 1,16.67%
Durant,5,5 - 0 - 0,100.00%
Arceus Flying Pikachu,5,2 - 3 - 0,40.00%
Lunatone Solrock,5,2 - 3 - 0,40.00%
Eternatus,5,1 - 4 - 0,20.00%
Kyurem Palkia,4,2 - 2 - 0,50.00%
Vikavolt Regieleki,4,1 - 3 - 0,25.00%
Giratina LZ Box,4,0 - 4 - 0,0.00%
Duraludon,3,3 - 0 - 0,100.00%
Yveltal Control,3,2 - 0 - 1,66.67%
Galarian Weezing,3,1 - 2 - 0,33.33%
Arceus,3,1 - 2 - 0,33.33%
Zoroark Box,3,1 - 1 - 1,33.33%
Vikavolt,3,0 - 3 - 0,0.00%
Weezing Aerodactyl,2,1 - 1 - 0,50.00%
Darkrai,2,1 - 1 - 0,50.00%
Regidrago,2,1 - 1 - 0,50.00%
Palkia Vikavolt,2,1 - 1 - 0,50.00%
Frosmoth Inteleon Box,2,0 - 0 - 2,0.00%
Arceus Tapu Koko,2,0 - 2 - 0,0.00%
Inteleon Box,1,1 - 0 - 0,100.00%
Victini,1,1 - 0 - 0,100.00%
Rotom,1,1 - 0 - 0,100.00%
Zacian,1,1 - 0 - 0,100.00%
Snorlax Cherrim,1,1 - 0 - 0,100.00%
Arcanine Zoroark,1,1 - 0 - 0,100.00%
Rapid Strike Malamar,1,0 - 1 - 0,0.00%
Mewtwo Gengar,1,0 - 0 - 1,0.00%
Crobat Weezing,1,0 - 1 - 0,0.00%
Leafeon Inteleon,1,0 - 1 - 0,0.00%
Orbeetle,1,0 - 1 - 0,0.00%
Arceus Regidrago,1,0 - 1 - 0,0.00%
Calyrex Inteleon,1,0 - 1 - 0,0.00%
Dialga,1,0 - 1 - 0,0.00%
Shadow Rider Calyrex,1,0 - 1 - 0,0.00%
