Opponent,Matches,Score,Win%
Mew Genesect,8,1 - 7 - 0,12.50%
Lugia Archeops,5,0 - 5 - 0,0.00%
Lost Zone Box,4,0 - 4 - 0,0.00%
Arceus Duraludon,3,1 - 2 - 0,33.33%
Giratina LZ Box,2,1 - 1 - 0,50.00%
Zoroark Box,2,1 - 1 - 0,50.00%
Miltank Yveltal,2,0 - 1 - 1,0.00%
Eternatus,2,0 - 2 - 0,0.00%
Arceus Inteleon,2,0 - 2 - 0,0.00%
Palkia Inteleon,2,0 - 2 - 0,0.00%
Castform,1,1 - 0 - 0,100.00%
Mad Party,1,1 - 0 - 0,100.00%
Galarian Weezing,1,1 - 0 - 0,100.00%
Mewtwo Control,1,1 - 0 - 0,100.00%
Vikavolt,1,1 - 0 - 0,100.00%
Regidrago,1,1 - 0 - 0,100.00%
Yveltal Control,1,1 - 0 - 0,100.00%
Regis,1,0 - 1 - 0,0.00%
Arceus Giratina,1,0 - 1 - 0,0.00%
Articuno Inteleon,1,0 - 1 - 0,0.00%
Vikavolt Regieleki,1,0 - 1 - 0,0.00%
