Opponent,Matches,Score,Win%
Lugia Archeops,114,73 - 37 - 4,64.04%
Mew Genesect,81,23 - 56 - 2,28.40%
Lost Zone Box,76,23 - 49 - 4,30.26%
Arceus Duraludon,34,0 - 33 - 1,0.00%
Regis,30,23 - 6 - 1,76.67%
Goodra LZ Box,25,5 - 20 - 0,20.00%
Rayquaza LZ Box,22,11 - 11 - 0,50.00%
Giratina LZ Box,16,2 - 14 - 0,12.50%
Palkia Inteleon,15,5 - 10 - 0,33.33%
Other,14,7 - 6 - 1,50.00%
Galarian Weezing,14,6 - 6 - 2,42.86%
Eternatus,14,1 - 13 - 0,7.14%
Zoroark Box,11,8 - 3 - 0,72.73%
Arceus Flying Pikachu,10,2 - 7 - 1,20.00%
Vikavolt,9,2 - 7 - 0,22.22%
Palkia Vikavolt,8,2 - 5 - 1,25.00%
Regidrago,8,1 - 7 - 0,12.50%
Mewtwo Control,7,1 - 5 - 1,14.29%
Yveltal Control,7,1 - 4 - 2,14.29%
Durant,6,2 - 3 - 1,33.33%
Vikavolt Regieleki,6,1 - 5 - 0,16.67%
Arceus Regidrago,6,0 - 6 - 0,0.00%
Arceus Goodra,5,0 - 5 - 0,0.00%
Arceus Tapu Koko,5,0 - 4 - 1,0.00%
Lunatone Solrock,4,2 - 2 - 0,50.00%
Shadow Rider Calyrex,4,1 - 2 - 1,25.00%
Arceus Inteleon,4,1 - 3 - 0,25.00%
Frosmoth Inteleon Box,3,2 - 1 - 0,66.67%
Kyurem Palkia,3,1 - 2 - 0,33.33%
Rotom,3,1 - 2 - 0,33.33%
Kyurem,3,1 - 2 - 0,33.33%
Umbreon Urshifu,3,0 - 2 - 1,0.00%
Blissey,3,0 - 3 - 0,0.00%
Urshifu Inteleon,2,1 - 1 - 0,50.00%
Darkrai,2,1 - 1 - 0,50.00%
Calyrex Inteleon,2,1 - 1 - 0,50.00%
Galarian Obstagoon,2,1 - 1 - 0,50.00%
Dialga,2,1 - 1 - 0,50.00%
Arcanine Zoroark,2,1 - 1 - 0,50.00%
Duraludon,2,1 - 1 - 0,50.00%
Rapid Strike Urshifu,2,0 - 2 - 0,0.00%
Weezing Aerodactyl,2,0 - 2 - 0,0.00%
Hisuian Zoroark,2,0 - 2 - 0,0.00%
Arceus,2,0 - 2 - 0,0.00%
Crobat Weezing,2,0 - 2 - 0,0.00%
Dialga LZ,2,0 - 2 - 0,0.00%
Articuno Inteleon,1,1 - 0 - 0,100.00%
Magikarp,1,1 - 0 - 0,100.00%
Orbeetle,1,1 - 0 - 0,100.00%
Ice Rider Calyrex,1,1 - 0 - 0,100.00%
Samurott Inteleon,1,1 - 0 - 0,100.00%
Togekiss,1,0 - 1 - 0,0.00%
Frosmoth Box,1,0 - 1 - 0,0.00%
Shadow Rider Whimsicott,1,0 - 1 - 0,0.00%
Snorlax Cherrim,1,0 - 1 - 0,0.00%
Rapid Strike Malamar,1,0 - 1 - 0,0.00%
Serperior,1,0 - 1 - 0,0.00%
