Opponent,Matches,Score,Win%
Lugia Archeops,9,2 - 5 - 2,22.22%
Lost Zone Box,6,2 - 4 - 0,33.33%
Arceus Duraludon,5,0 - 5 - 0,0.00%
Mew Genesect,4,2 - 2 - 0,50.00%
Rayquaza LZ Box,4,1 - 3 - 0,25.00%
Eternatus,3,2 - 1 - 0,66.67%
Zoroark Box,3,1 - 2 - 0,33.33%
Palkia Vikavolt,2,2 - 0 - 0,100.00%
Goodra LZ Box,2,2 - 0 - 0,100.00%
Palkia Inteleon,2,1 - 1 - 0,50.00%
Hisuian Zoroark,2,0 - 2 - 0,0.00%
Regis,2,0 - 2 - 0,0.00%
Giratina LZ Box,2,0 - 2 - 0,0.00%
Mewtwo Control,1,1 - 0 - 0,100.00%
Duraludon,1,1 - 0 - 0,100.00%
Other,1,1 - 0 - 0,100.00%
Durant,1,0 - 1 - 0,0.00%
Umbreon Urshifu,1,0 - 1 - 0,0.00%
Vikavolt Regieleki,1,0 - 1 - 0,0.00%
Arceus,1,0 - 1 - 0,0.00%
