Opponent,Matches,Score,Win%
Lugia Archeops,857,312 - 521 - 24,36.41%
Mew Genesect,567,295 - 259 - 13,52.03%
Lost Zone Box,470,216 - 246 - 8,45.96%
Regis,299,144 - 142 - 13,48.16%
Arceus Duraludon,225,128 - 90 - 7,56.89%
Giratina LZ Box,214,104 - 104 - 6,48.60%
Rayquaza LZ Box,183,68 - 110 - 5,37.16%
Goodra LZ Box,143,72 - 63 - 8,50.35%
Palkia Inteleon,89,48 - 40 - 1,53.93%
Other,87,57 - 28 - 2,65.52%
Zoroark Box,78,56 - 22 - 0,71.79%
Kyurem Palkia,77,43 - 32 - 2,55.84%
Eternatus,69,31 - 35 - 3,44.93%
Hisuian Zoroark,65,37 - 28 - 0,56.92%
Vikavolt Regieleki,63,21 - 41 - 1,33.33%
Arceus Flying Pikachu,61,37 - 21 - 3,60.66%
Mewtwo Control,49,30 - 16 - 3,61.22%
Arceus Goodra,46,25 - 20 - 1,54.35%
Arceus,40,20 - 19 - 1,50.00%
Vikavolt,40,20 - 19 - 1,50.00%
Blissey,35,25 - 9 - 1,71.43%
Shadow Rider Calyrex,30,16 - 12 - 2,53.33%
Regidrago,28,19 - 9 - 0,67.86%
Lunatone Solrock,27,14 - 13 - 0,51.85%
Yveltal Control,26,15 - 10 - 1,57.69%
Crobat Weezing,25,13 - 12 - 0,52.00%
Arceus Regidrago,24,9 - 14 - 1,37.50%
Durant,22,15 - 7 - 0,68.18%
Arceus Inteleon,20,7 - 11 - 2,35.00%
Palkia Vikavolt,18,7 - 11 - 0,38.89%
Weezing Aerodactyl,17,10 - 7 - 0,58.82%
Rotom,17,7 - 10 - 0,41.18%
Galarian Weezing,16,14 - 2 - 0,87.50%
Arceus Tapu Koko,16,6 - 10 - 0,37.50%
Inteleon Box,11,9 - 2 - 0,81.82%
Zacian,11,3 - 8 - 0,27.27%
Calyrex Inteleon,10,5 - 5 - 0,50.00%
Dialga LZ,9,6 - 3 - 0,66.67%
Darkrai,9,6 - 3 - 0,66.67%
Palkia,9,3 - 5 - 1,33.33%
Arceus Mewtwo,9,2 - 7 - 0,22.22%
Urshifu Inteleon,8,6 - 2 - 0,75.00%
Dialga,8,4 - 4 - 0,50.00%
Duraludon,8,4 - 4 - 0,50.00%
Weezing Inteleon,7,6 - 1 - 0,85.71%
Rapid Strike Urshifu,7,5 - 2 - 0,71.43%
Rapid Strike Malamar,6,4 - 2 - 0,66.67%
Alolan Vulpix,6,4 - 2 - 0,66.67%
Clefairy,6,3 - 3 - 0,50.00%
Snorlax Stall,6,3 - 2 - 1,50.00%
Arceus Giratina,6,2 - 4 - 0,33.33%
Hisuian Arcanine,5,4 - 1 - 0,80.00%
Kyurem,5,4 - 1 - 0,80.00%
Umbreon Urshifu,5,4 - 1 - 0,80.00%
Miltank,5,3 - 1 - 1,60.00%
Flaaffy,4,4 - 0 - 0,100.00%
Frosmoth Inteleon Box,4,4 - 0 - 0,100.00%
Mewtwo Gengar,4,4 - 0 - 0,100.00%
Serperior,4,3 - 1 - 0,75.00%
Arcanine Zoroark,4,2 - 2 - 0,50.00%
Entei,4,1 - 3 - 0,25.00%
Zeraora,4,1 - 3 - 0,25.00%
Inteleon Inteleon,3,3 - 0 - 0,100.00%
Amazing Raikou,3,3 - 0 - 0,100.00%
Machamp,3,2 - 1 - 0,66.67%
Miltank Yveltal,3,2 - 1 - 0,66.67%
Dragonite,3,2 - 1 - 0,66.67%
Charizard,3,1 - 2 - 0,33.33%
Mimikyu,2,2 - 0 - 0,100.00%
Castform,2,2 - 0 - 0,100.00%
Victini,2,2 - 0 - 0,100.00%
Gengar,2,2 - 0 - 0,100.00%
Darkrai Weezing,2,2 - 0 - 0,100.00%
Boltund Flaaffy,2,2 - 0 - 0,100.00%
Frosmoth Box,2,1 - 1 - 0,50.00%
Charizard,2,1 - 0 - 1,50.00%
Togekiss,2,1 - 1 - 0,50.00%
Ice Rider Calyrex,2,1 - 1 - 0,50.00%
Hisuian Samurott,2,1 - 1 - 0,50.00%
Decidueye Inteleon,2,1 - 1 - 0,50.00%
Arceus Malamar,2,1 - 1 - 0,50.00%
Omastar Archeops,2,0 - 2 - 0,0.00%
Dark Inteleon,2,0 - 1 - 1,0.00%
Sylveon Arceus,1,1 - 0 - 0,100.00%
Hisuian Goodra,1,1 - 0 - 0,100.00%
Mad Party,1,1 - 0 - 0,100.00%
Suicune Moltres,1,1 - 0 - 0,100.00%
Inteleon,1,1 - 0 - 0,100.00%
Wormadam Box,1,1 - 0 - 0,100.00%
Wailord,1,1 - 0 - 0,100.00%
Clefairy Wyrdeer,1,1 - 0 - 0,100.00%
Jolteon,1,1 - 0 - 0,100.00%
Amazing Reshiram,1,1 - 0 - 0,100.00%
Dhelmise Rillaboom,1,1 - 0 - 0,100.00%
Dragapult Inteleon,1,1 - 0 - 0,100.00%
Mienshao,1,1 - 0 - 0,100.00%
Calyrex Palkia,1,1 - 0 - 0,100.00%
Hisuian Arcanine,1,1 - 0 - 0,100.00%
Corviknight,1,1 - 0 - 0,100.00%
Leafeon,1,1 - 0 - 0,100.00%
Samurott Weezing,1,1 - 0 - 0,100.00%
Boltund,1,1 - 0 - 0,100.00%
Arceus Ice Rider,1,1 - 0 - 0,100.00%
Jolteon Inteleon,1,0 - 1 - 0,0.00%
Arceus Gyarados,1,0 - 1 - 0,0.00%
Arceus Lycanroc,1,0 - 1 - 0,0.00%
Cramorant,1,0 - 1 - 0,0.00%
Arceus Aggron,1,0 - 1 - 0,0.00%
Samurott Inteleon,1,0 - 1 - 0,0.00%
Snorlax,1,0 - 1 - 0,0.00%
Dracozolt,1,0 - 1 - 0,0.00%
Inteleon Urshifu,1,0 - 1 - 0,0.00%
Entei Ludicolo,1,0 - 1 - 0,0.00%
Pikachu,1,0 - 1 - 0,0.00%
Articuno Inteleon,1,0 - 1 - 0,0.00%
