Opponent,Matches,Score,Win%
Lugia Archeops,8,3 - 5 - 0,37.50%
Lost Zone Box,7,6 - 1 - 0,85.71%
Palkia Inteleon,2,2 - 0 - 0,100.00%
Yveltal Control,2,1 - 1 - 0,50.00%
Mew Genesect,2,1 - 1 - 0,50.00%
Goodra LZ Box,2,0 - 1 - 1,0.00%
Regis,2,0 - 2 - 0,0.00%
Rayquaza LZ Box,2,0 - 2 - 0,0.00%
Eternatus,2,0 - 2 - 0,0.00%
Palkia,1,1 - 0 - 0,100.00%
Flaaffy Zekrom,1,1 - 0 - 0,100.00%
Kyurem,1,1 - 0 - 0,100.00%
Shadow Rider Calyrex,1,1 - 0 - 0,100.00%
Arceus,1,0 - 1 - 0,0.00%
Arceus Goodra,1,0 - 1 - 0,0.00%
Arceus Duraludon,1,0 - 1 - 0,0.00%
