Opponent,Matches,Score,Win%
Lugia Archeops,1108,483 - 589 - 36,43.59%
Mew Genesect,768,390 - 355 - 23,50.78%
Lost Zone Box,517,327 - 172 - 18,63.25%
Arceus Duraludon,349,147 - 189 - 13,42.12%
Goodra LZ Box,348,164 - 164 - 20,47.13%
Regis,305,205 - 86 - 14,67.21%
Rayquaza LZ Box,243,113 - 121 - 9,46.50%
Giratina LZ Box,143,63 - 72 - 8,44.06%
Other,126,96 - 29 - 1,76.19%
Eternatus,121,64 - 55 - 2,52.89%
Arceus Flying Pikachu,120,62 - 54 - 4,51.67%
Vikavolt,111,62 - 46 - 3,55.86%
Palkia Inteleon,106,55 - 49 - 2,51.89%
Vikavolt Regieleki,75,39 - 34 - 2,52.00%
Arceus,64,38 - 26 - 0,59.38%
Arceus Tapu Koko,60,34 - 23 - 3,56.67%
Yveltal Control,51,32 - 14 - 5,62.75%
Shadow Rider Calyrex,49,25 - 23 - 1,51.02%
Zoroark Box,43,35 - 7 - 1,81.40%
Kyurem Palkia,41,15 - 26 - 0,36.59%
Durant,36,22 - 13 - 1,61.11%
Mewtwo Control,31,17 - 12 - 2,54.84%
Regidrago,29,21 - 8 - 0,72.41%
Arceus Inteleon,28,15 - 13 - 0,53.57%
Lunatone Solrock,27,16 - 10 - 1,59.26%
Hisuian Zoroark,27,16 - 11 - 0,59.26%
Blissey,27,13 - 13 - 1,48.15%
Galarian Weezing,25,20 - 5 - 0,80.00%
Rotom,25,12 - 11 - 2,48.00%
Palkia Vikavolt,22,15 - 6 - 1,68.18%
Zacian,22,13 - 8 - 1,59.09%
Duraludon,21,13 - 8 - 0,61.90%
Arceus Goodra,20,15 - 5 - 0,75.00%
Arceus Regidrago,19,11 - 7 - 1,57.89%
Palkia,18,7 - 10 - 1,38.89%
Dialga,16,8 - 8 - 0,50.00%
Darkrai,14,9 - 5 - 0,64.29%
Frosmoth Inteleon Box,9,5 - 2 - 2,55.56%
Rapid Strike Urshifu,8,8 - 0 - 0,100.00%
Flaaffy,8,7 - 0 - 1,87.50%
Inteleon Box,7,4 - 2 - 1,57.14%
Crobat Weezing,7,3 - 4 - 0,42.86%
Togekiss,6,6 - 0 - 0,100.00%
Urshifu Inteleon,6,5 - 0 - 1,83.33%
Arceus Giratina,6,4 - 2 - 0,66.67%
Mewtwo Gengar,6,3 - 3 - 0,50.00%
Hisuian Arcanine,6,2 - 4 - 0,33.33%
Snorlax Cherrim,5,5 - 0 - 0,100.00%
Ice Rider Calyrex,5,4 - 1 - 0,80.00%
Arcanine Zoroark,5,4 - 0 - 1,80.00%
Calyrex Inteleon,5,3 - 2 - 0,60.00%
Dialga LZ,5,1 - 4 - 0,20.00%
Malamar (VMAX),4,3 - 1 - 0,75.00%
Weezing Aerodactyl,4,2 - 2 - 0,50.00%
Galarian Obstagoon,4,2 - 2 - 0,50.00%
Darkrai Weezing,4,2 - 2 - 0,50.00%
Calyrex Palkia,3,3 - 0 - 0,100.00%
Boltund Flaaffy,3,3 - 0 - 0,100.00%
Omastar Archeops,3,2 - 1 - 0,66.67%
Kyurem,3,2 - 1 - 0,66.67%
Weezing Inteleon,3,2 - 1 - 0,66.67%
Inteleon Inteleon,3,2 - 1 - 0,66.67%
Hisuian Goodra,3,2 - 1 - 0,66.67%
Alolan Vulpix,3,2 - 1 - 0,66.67%
Zeraora,3,2 - 1 - 0,66.67%
Dragonite,3,1 - 2 - 0,33.33%
Rapid Strike Malamar,3,1 - 2 - 0,33.33%
Arceus Mewtwo,3,0 - 3 - 0,0.00%
Dracozolt,2,2 - 0 - 0,100.00%
Torterra,2,2 - 0 - 0,100.00%
Serperior,2,2 - 0 - 0,100.00%
Mad Party,2,2 - 0 - 0,100.00%
Entei,2,1 - 1 - 0,50.00%
Giratina,2,1 - 0 - 1,50.00%
Hisuian Samurott,2,1 - 1 - 0,50.00%
Inteleon,2,1 - 1 - 0,50.00%
Victini,2,0 - 2 - 0,0.00%
Charizard,2,0 - 2 - 0,0.00%
Articuno Inteleon,2,0 - 2 - 0,0.00%
Gengar,2,0 - 2 - 0,0.00%
Suicune Ludicolo,2,0 - 2 - 0,0.00%
Arceus Ice Rider,2,0 - 2 - 0,0.00%
Umbreon Urshifu,2,0 - 2 - 0,0.00%
Umbreon,1,1 - 0 - 0,100.00%
Samurott Inteleon,1,1 - 0 - 0,100.00%
Amazing Raikou,1,1 - 0 - 0,100.00%
Arceus Malamar,1,1 - 0 - 0,100.00%
Samurott Weezing,1,1 - 0 - 0,100.00%
Lucario,1,1 - 0 - 0,100.00%
Decidueye Inteleon,1,1 - 0 - 0,100.00%
Leafeon,1,1 - 0 - 0,100.00%
Snorlax Stall,1,1 - 0 - 0,100.00%
Miltank,1,1 - 0 - 0,100.00%
Suicune Moltres,1,1 - 0 - 0,100.00%
Miltank Yveltal,1,1 - 0 - 0,100.00%
Clefairy,1,1 - 0 - 0,100.00%
Inteleon Urshifu,1,1 - 0 - 0,100.00%
Machamp,1,0 - 1 - 0,0.00%
Dragapult,1,0 - 1 - 0,0.00%
Dragapult Inteleon,1,0 - 1 - 0,0.00%
Arceus Rayquaza,1,0 - 1 - 0,0.00%
Shadow Rider Whimsicott,1,0 - 1 - 0,0.00%
Orbeetle,1,0 - 1 - 0,0.00%
Boltund,1,0 - 1 - 0,0.00%
Corviknight,1,0 - 1 - 0,0.00%
Morpeko,1,0 - 1 - 0,0.00%
Stonjourner,1,0 - 1 - 0,0.00%
Arceus Flygon,1,0 - 1 - 0,0.00%
Coalossal (Tar Generator),1,0 - 1 - 0,0.00%
Single Strike Urshifu,1,0 - 1 - 0,0.00%
Calyrex Alcremie,1,0 - 1 - 0,0.00%
