Opponent,Matches,Score,Win%
Lugia Archeops,30,6 - 24 - 0,20.00%
Mew Genesect,16,4 - 12 - 0,25.00%
Lost Zone Box,15,5 - 10 - 0,33.33%
Arceus Duraludon,11,8 - 3 - 0,72.73%
Regis,6,6 - 0 - 0,100.00%
Goodra LZ Box,6,4 - 2 - 0,66.67%
Kyurem Palkia,5,3 - 2 - 0,60.00%
Other,5,3 - 2 - 0,60.00%
Giratina LZ Box,5,1 - 4 - 0,20.00%
Mewtwo Control,2,2 - 0 - 0,100.00%
Vikavolt Regieleki,2,2 - 0 - 0,100.00%
Regidrago,2,2 - 0 - 0,100.00%
Blissey,2,1 - 1 - 0,50.00%
Hisuian Zoroark,2,1 - 1 - 0,50.00%
Vikavolt,2,1 - 1 - 0,50.00%
Shadow Rider Calyrex,2,0 - 2 - 0,0.00%
Arceus Tapu Koko,2,0 - 2 - 0,0.00%
Dialga LZ,1,1 - 0 - 0,100.00%
Yveltal Control,1,1 - 0 - 0,100.00%
Urshifu Inteleon,1,1 - 0 - 0,100.00%
Darkrai,1,1 - 0 - 0,100.00%
Crobat Weezing,1,1 - 0 - 0,100.00%
Orbeetle,1,1 - 0 - 0,100.00%
Zoroark Box,1,1 - 0 - 0,100.00%
Zacian,1,1 - 0 - 0,100.00%
Arceus Flying Pikachu,1,0 - 1 - 0,0.00%
Weezing Aerodactyl,1,0 - 1 - 0,0.00%
Arceus Goodra,1,0 - 1 - 0,0.00%
Rayquaza LZ Box,1,0 - 1 - 0,0.00%
Duraludon,1,0 - 1 - 0,0.00%
Arceus Regidrago,1,0 - 0 - 1,0.00%
Durant,1,0 - 1 - 0,0.00%
Palkia Inteleon,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
