Opponent,Matches,Score,Win%
Lugia Archeops,9,4 - 5 - 0,44.44%
Arceus Duraludon,3,3 - 0 - 0,100.00%
Regis,3,2 - 1 - 0,66.67%
Goodra LZ Box,3,1 - 2 - 0,33.33%
Lost Zone Box,3,1 - 2 - 0,33.33%
Eternatus,3,1 - 2 - 0,33.33%
Mew Genesect,2,2 - 0 - 0,100.00%
Zoroark Box,2,2 - 0 - 0,100.00%
Palkia Inteleon,2,1 - 1 - 0,50.00%
Zacian,1,1 - 0 - 0,100.00%
Palkia Vikavolt,1,1 - 0 - 0,100.00%
Vikavolt,1,1 - 0 - 0,100.00%
Dialga LZ,1,0 - 1 - 0,0.00%
Giratina LZ Box,1,0 - 1 - 0,0.00%
Vikavolt Regieleki,1,0 - 0 - 1,0.00%
