Opponent,Matches,Score,Win%
Mew Genesect,3,2 - 1 - 0,66.67%
Lugia Archeops,3,0 - 3 - 0,0.00%
Lost Zone Box,3,0 - 3 - 0,0.00%
Zoroark Box,2,2 - 0 - 0,100.00%
Rayquaza LZ Box,2,1 - 1 - 0,50.00%
Other,2,1 - 1 - 0,50.00%
Flaaffy,2,1 - 1 - 0,50.00%
Vikavolt,1,1 - 0 - 0,100.00%
Giratina LZ Box,1,1 - 0 - 0,100.00%
Lunatone Solrock,1,1 - 0 - 0,100.00%
Goodra LZ Box,1,0 - 1 - 0,0.00%
Vikavolt Regieleki,1,0 - 1 - 0,0.00%
Durant,1,0 - 1 - 0,0.00%
Rapid Strike Urshifu,1,0 - 1 - 0,0.00%
Galarian Weezing,1,0 - 1 - 0,0.00%
Duraludon,1,0 - 1 - 0,0.00%
Arceus Inteleon,1,0 - 1 - 0,0.00%
