Opponent,Matches,Score,Win%
Lugia Archeops,10,4 - 6 - 0,40.00%
Mew Genesect,10,2 - 8 - 0,20.00%
Regis,6,3 - 2 - 1,50.00%
Arceus Duraludon,5,2 - 2 - 1,40.00%
Arceus Flying Pikachu,3,2 - 1 - 0,66.67%
Rayquaza LZ Box,3,0 - 3 - 0,0.00%
Vikavolt Regieleki,2,2 - 0 - 0,100.00%
Palkia Inteleon,2,1 - 1 - 0,50.00%
Giratina LZ Box,2,1 - 1 - 0,50.00%
Goodra LZ Box,2,1 - 1 - 0,50.00%
Arceus Mewtwo,2,0 - 2 - 0,0.00%
Lost Zone Box,2,0 - 2 - 0,0.00%
Kyurem Palkia,2,0 - 2 - 0,0.00%
Eternatus,2,0 - 2 - 0,0.00%
Dialga LZ,1,1 - 0 - 0,100.00%
Calyrex Inteleon,1,1 - 0 - 0,100.00%
Other,1,1 - 0 - 0,100.00%
Arceus Tapu Koko,1,1 - 0 - 0,100.00%
Vikavolt,1,1 - 0 - 0,100.00%
Arceus Regidrago,1,0 - 1 - 0,0.00%
Duraludon,1,0 - 1 - 0,0.00%
Yveltal Control,1,0 - 1 - 0,0.00%
Samurott Weezing,1,0 - 1 - 0,0.00%
Rotom,1,0 - 1 - 0,0.00%
Hisuian Zoroark,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Suicune Ludicolo,1,0 - 1 - 0,0.00%
Arceus,1,0 - 1 - 0,0.00%
Palkia Vikavolt,1,0 - 1 - 0,0.00%
