Opponent,Matches,Score,Win%
Lugia Archeops,214,64 - 143 - 7,29.91%
Mew Genesect,151,67 - 81 - 3,44.37%
Lost Zone Box,87,28 - 53 - 6,32.18%
Regis,75,28 - 46 - 1,37.33%
Giratina LZ Box,65,28 - 37 - 0,43.08%
Arceus Duraludon,53,18 - 33 - 2,33.96%
Other,39,20 - 18 - 1,51.28%
Rayquaza LZ Box,35,12 - 22 - 1,34.29%
Goodra LZ Box,27,11 - 16 - 0,40.74%
Zoroark Box,25,9 - 16 - 0,36.00%
Eternatus,24,13 - 9 - 2,54.17%
Vikavolt Regieleki,21,10 - 10 - 1,47.62%
Kyurem Palkia,21,7 - 14 - 0,33.33%
Arceus Flying Pikachu,20,8 - 11 - 1,40.00%
Vikavolt,16,13 - 3 - 0,81.25%
Palkia Inteleon,16,7 - 9 - 0,43.75%
Hisuian Zoroark,14,7 - 7 - 0,50.00%
Regidrago,13,6 - 7 - 0,46.15%
Blissey,13,5 - 8 - 0,38.46%
Shadow Rider Calyrex,12,9 - 3 - 0,75.00%
Mewtwo Control,11,1 - 10 - 0,9.09%
Arceus Regidrago,10,7 - 3 - 0,70.00%
Arceus Inteleon,9,7 - 2 - 0,77.78%
Arceus Goodra,9,6 - 3 - 0,66.67%
Arceus,9,5 - 4 - 0,55.56%
Durant,6,5 - 1 - 0,83.33%
Urshifu Inteleon,6,4 - 2 - 0,66.67%
Palkia Vikavolt,6,2 - 4 - 0,33.33%
Crobat Weezing,5,4 - 0 - 1,80.00%
Arceus Tapu Koko,5,4 - 1 - 0,80.00%
Arceus Giratina,5,3 - 2 - 0,60.00%
Calyrex Inteleon,5,3 - 1 - 1,60.00%
Duraludon,5,3 - 2 - 0,60.00%
Clefairy,4,2 - 2 - 0,50.00%
Miltank Yveltal,4,1 - 3 - 0,25.00%
Rotom,4,0 - 4 - 0,0.00%
Yveltal Control,4,0 - 3 - 1,0.00%
Lunatone Solrock,4,0 - 4 - 0,0.00%
Alolan Vulpix,3,3 - 0 - 0,100.00%
Malamar (VMAX),3,2 - 1 - 0,66.67%
Kyurem,3,1 - 2 - 0,33.33%
Rapid Strike Urshifu,3,0 - 3 - 0,0.00%
Gengar,2,2 - 0 - 0,100.00%
Inteleon Box,2,2 - 0 - 0,100.00%
Weezing Aerodactyl,2,2 - 0 - 0,100.00%
Galarian Weezing,2,2 - 0 - 0,100.00%
Hisuian Arcanine,2,1 - 1 - 0,50.00%
Zeraora,2,1 - 1 - 0,50.00%
Darkrai,2,0 - 2 - 0,0.00%
Mewtwo Gengar,2,0 - 1 - 1,0.00%
Palkia,2,0 - 2 - 0,0.00%
Arceus Mewtwo,1,1 - 0 - 0,100.00%
Weezing Inteleon,1,1 - 0 - 0,100.00%
Tyranitar,1,1 - 0 - 0,100.00%
Flaaffy,1,1 - 0 - 0,100.00%
Charizard,1,1 - 0 - 0,100.00%
Dialga,1,1 - 0 - 0,100.00%
Zacian,1,1 - 0 - 0,100.00%
Hisuian Samurott,1,1 - 0 - 0,100.00%
Jolteon Inteleon,1,1 - 0 - 0,100.00%
Miltank,1,0 - 1 - 0,0.00%
Dialga LZ,1,0 - 1 - 0,0.00%
Lucario,1,0 - 1 - 0,0.00%
Inteleon Inteleon,1,0 - 1 - 0,0.00%
Calyrex Palkia,1,0 - 1 - 0,0.00%
