Opponent,Matches,Score,Win%
Lugia Archeops,41,12 - 29 - 0,29.27%
Mew Genesect,25,11 - 14 - 0,44.00%
Lost Zone Box,17,2 - 15 - 0,11.76%
Arceus Duraludon,12,4 - 8 - 0,33.33%
Regis,11,4 - 7 - 0,36.36%
Giratina LZ Box,10,5 - 5 - 0,50.00%
Rayquaza LZ Box,8,1 - 7 - 0,12.50%
Other,7,4 - 3 - 0,57.14%
Palkia Inteleon,7,1 - 5 - 1,14.29%
Eternatus,6,4 - 2 - 0,66.67%
Goodra LZ Box,5,2 - 3 - 0,40.00%
Arceus Flying Pikachu,5,2 - 3 - 0,40.00%
Hisuian Zoroark,5,1 - 3 - 1,20.00%
Darkrai,4,2 - 2 - 0,50.00%
Kyurem Palkia,4,1 - 3 - 0,25.00%
Arceus,4,0 - 4 - 0,0.00%
Zoroark Box,3,1 - 2 - 0,33.33%
Regidrago,3,1 - 2 - 0,33.33%
Durant,3,1 - 2 - 0,33.33%
Arceus Tapu Koko,3,1 - 2 - 0,33.33%
Yveltal Control,3,1 - 0 - 2,33.33%
Lunatone Solrock,3,1 - 2 - 0,33.33%
Arceus Regidrago,3,0 - 3 - 0,0.00%
Urshifu Inteleon,2,2 - 0 - 0,100.00%
Vikavolt,2,2 - 0 - 0,100.00%
Blissey,2,1 - 1 - 0,50.00%
Vikavolt Regieleki,2,1 - 1 - 0,50.00%
Galarian Weezing,2,1 - 1 - 0,50.00%
Mewtwo Control,2,1 - 0 - 1,50.00%
Zacian,2,1 - 1 - 0,50.00%
Arceus Inteleon,2,0 - 2 - 0,0.00%
Shadow Rider Calyrex,2,0 - 2 - 0,0.00%
Frosmoth Inteleon Box,1,1 - 0 - 0,100.00%
Duraludon,1,1 - 0 - 0,100.00%
Mewtwo Gengar,1,1 - 0 - 0,100.00%
Dragapult Inteleon,1,1 - 0 - 0,100.00%
Cramorant,1,1 - 0 - 0,100.00%
Samurott Weezing,1,0 - 1 - 0,0.00%
Hisuian Samurott,1,0 - 1 - 0,0.00%
Rapid Strike Malamar,1,0 - 1 - 0,0.00%
Clefairy,1,0 - 1 - 0,0.00%
Jolteon,1,0 - 1 - 0,0.00%
Arceus Goodra,1,0 - 1 - 0,0.00%
Flaaffy,1,0 - 1 - 0,0.00%
Rapid Strike Urshifu,1,0 - 1 - 0,0.00%
Umbreon Urshifu,1,0 - 1 - 0,0.00%
