Opponent,Matches,Score,Win%
Lugia Archeops,14,6 - 8 - 0,42.86%
Lost Zone Box,8,1 - 7 - 0,12.50%
Mew Genesect,7,3 - 4 - 0,42.86%
Regis,4,2 - 2 - 0,50.00%
Arceus Duraludon,3,1 - 2 - 0,33.33%
Goodra LZ Box,3,0 - 3 - 0,0.00%
Arceus Flying Pikachu,2,0 - 1 - 1,0.00%
Vikavolt Regieleki,2,0 - 2 - 0,0.00%
Arceus Goodra,1,1 - 0 - 0,100.00%
Greedent,1,1 - 0 - 0,100.00%
Rapid Strike Malamar,1,1 - 0 - 0,100.00%
Rotom,1,1 - 0 - 0,100.00%
Hisuian Zoroark,1,1 - 0 - 0,100.00%
Palkia Inteleon,1,0 - 1 - 0,0.00%
Wormadam Box,1,0 - 1 - 0,0.00%
Palkia Vikavolt,1,0 - 1 - 0,0.00%
Dragonite,1,0 - 1 - 0,0.00%
Giratina LZ Box,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Kyurem Palkia,1,0 - 1 - 0,0.00%
Regidrago,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
Other,1,0 - 1 - 0,0.00%
Shadow Rider Calyrex,1,0 - 1 - 0,0.00%
Flaaffy,1,0 - 1 - 0,0.00%
