Opponent,Matches,Score,Win%
Lugia Archeops,44,24 - 20 - 0,54.55%
Mew Genesect,42,25 - 17 - 0,59.52%
Lost Zone Box,29,9 - 19 - 1,31.03%
Regis,15,7 - 7 - 1,46.67%
Giratina LZ Box,11,2 - 9 - 0,18.18%
Arceus Duraludon,9,6 - 3 - 0,66.67%
Palkia Inteleon,8,1 - 7 - 0,12.50%
Rayquaza LZ Box,8,1 - 7 - 0,12.50%
Other,8,0 - 8 - 0,0.00%
Goodra LZ Box,7,2 - 4 - 1,28.57%
Kyurem Palkia,5,2 - 2 - 1,40.00%
Arceus Inteleon,5,2 - 3 - 0,40.00%
Vikavolt Regieleki,5,0 - 5 - 0,0.00%
Eternatus,5,0 - 4 - 1,0.00%
Yveltal Control,4,3 - 1 - 0,75.00%
Arceus,4,3 - 1 - 0,75.00%
Blissey,4,2 - 2 - 0,50.00%
Arceus Goodra,4,0 - 4 - 0,0.00%
Shadow Rider Calyrex,3,3 - 0 - 0,100.00%
Zoroark Box,3,2 - 0 - 1,66.67%
Mewtwo Control,3,1 - 2 - 0,33.33%
Arceus Flying Pikachu,3,0 - 3 - 0,0.00%
Arceus Tapu Koko,3,0 - 3 - 0,0.00%
Clefairy,2,2 - 0 - 0,100.00%
Lunatone Solrock,2,1 - 1 - 0,50.00%
Regidrago,2,1 - 1 - 0,50.00%
Snorlax Stall,2,1 - 1 - 0,50.00%
Hisuian Zoroark,2,0 - 2 - 0,0.00%
Arceus Regidrago,2,0 - 2 - 0,0.00%
Durant,2,0 - 2 - 0,0.00%
Vikavolt,2,0 - 2 - 0,0.00%
Alolan Vulpix,1,1 - 0 - 0,100.00%
Palkia Vikavolt,1,1 - 0 - 0,100.00%
Dialga,1,1 - 0 - 0,100.00%
Weezing Aerodactyl,1,1 - 0 - 0,100.00%
Flaaffy,1,1 - 0 - 0,100.00%
Articuno Inteleon,1,1 - 0 - 0,100.00%
Rapid Strike Urshifu,1,1 - 0 - 0,100.00%
Arceus Mewtwo,1,1 - 0 - 0,100.00%
Frosmoth Inteleon Box,1,0 - 1 - 0,0.00%
Jolteon,1,0 - 1 - 0,0.00%
Dark Inteleon,1,0 - 1 - 0,0.00%
Palkia,1,0 - 1 - 0,0.00%
Arceus Giratina,1,0 - 1 - 0,0.00%
Mewtwo Gengar,1,0 - 1 - 0,0.00%
Arceus Malamar,1,0 - 1 - 0,0.00%
