Opponent,Matches,Score,Win%
Lugia Archeops,8,3 - 5 - 0,37.50%
Arceus Duraludon,3,2 - 1 - 0,66.67%
Giratina LZ Box,2,1 - 0 - 1,50.00%
Mew Genesect,2,0 - 2 - 0,0.00%
Kyurem,1,1 - 0 - 0,100.00%
Inteleon Box,1,1 - 0 - 0,100.00%
Lost Zone Box,1,1 - 0 - 0,100.00%
Miltank Yveltal,1,1 - 0 - 0,100.00%
Crobat Weezing,1,1 - 0 - 0,100.00%
Arceus Regidrago,1,1 - 0 - 0,100.00%
Regidrago,1,0 - 1 - 0,0.00%
Weezing Aerodactyl,1,0 - 1 - 0,0.00%
Arceus Flying Pikachu,1,0 - 1 - 0,0.00%
Kyurem Palkia,1,0 - 1 - 0,0.00%
Dracozolt,1,0 - 1 - 0,0.00%
