Opponent,Matches,Score,Win%
Lugia Archeops,11,1 - 9 - 1,9.09%
Mew Genesect,5,3 - 2 - 0,60.00%
Lost Zone Box,4,2 - 2 - 0,50.00%
Arceus Duraludon,4,1 - 3 - 0,25.00%
Vikavolt,2,2 - 0 - 0,100.00%
Regis,2,1 - 1 - 0,50.00%
Arceus Tapu Koko,2,1 - 1 - 0,50.00%
Giratina LZ Box,1,1 - 0 - 0,100.00%
Darkrai,1,1 - 0 - 0,100.00%
Arceus,1,1 - 0 - 0,100.00%
Other,1,1 - 0 - 0,100.00%
Arceus Ice Rider,1,1 - 0 - 0,100.00%
Vikavolt Regieleki,1,1 - 0 - 0,100.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Kyurem,1,0 - 1 - 0,0.00%
Goodra LZ Box,1,0 - 1 - 0,0.00%
