Opponent,Matches,Score,Win%
Lugia Archeops,16,9 - 7 - 0,56.25%
Mew Genesect,10,4 - 6 - 0,40.00%
Lost Zone Box,7,3 - 4 - 0,42.86%
Regis,7,0 - 7 - 0,0.00%
Rayquaza LZ Box,4,1 - 3 - 0,25.00%
Other,3,2 - 1 - 0,66.67%
Eternatus,3,1 - 2 - 0,33.33%
Goodra LZ Box,3,1 - 2 - 0,33.33%
Arceus Goodra,3,0 - 3 - 0,0.00%
Giratina LZ Box,3,0 - 3 - 0,0.00%
Arceus Duraludon,3,0 - 3 - 0,0.00%
Palkia Inteleon,2,1 - 1 - 0,50.00%
Vikavolt,2,0 - 2 - 0,0.00%
Hisuian Zoroark,1,1 - 0 - 0,100.00%
Omastar Archeops,1,1 - 0 - 0,100.00%
Durant,1,1 - 0 - 0,100.00%
Blissey,1,1 - 0 - 0,100.00%
Kyurem Palkia,1,1 - 0 - 0,100.00%
Vikavolt Regieleki,1,0 - 1 - 0,0.00%
Miltank,1,0 - 0 - 1,0.00%
Arceus Regidrago,1,0 - 1 - 0,0.00%
Regidrago,1,0 - 1 - 0,0.00%
Palkia Vikavolt,1,0 - 1 - 0,0.00%
Zacian,1,0 - 1 - 0,0.00%
Arceus,1,0 - 1 - 0,0.00%
