Opponent,Matches,Score,Win%
Lugia Archeops,4,1 - 3 - 0,25.00%
Lost Zone Box,3,2 - 1 - 0,66.67%
Rayquaza LZ Box,2,1 - 0 - 1,50.00%
Eternatus,2,1 - 1 - 0,50.00%
Regis,2,0 - 2 - 0,0.00%
Vikavolt,1,1 - 0 - 0,100.00%
Giratina LZ Box,1,1 - 0 - 0,100.00%
Mewtwo Control,1,1 - 0 - 0,100.00%
Durant,1,1 - 0 - 0,100.00%
Shadow Rider Calyrex,1,1 - 0 - 0,100.00%
Mew Genesect,1,1 - 0 - 0,100.00%
Arceus Goodra,1,0 - 1 - 0,0.00%
Kyurem Palkia,1,0 - 1 - 0,0.00%
Arceus Regidrago,1,0 - 1 - 0,0.00%
Hisuian Zoroark,1,0 - 1 - 0,0.00%
