Opponent,Matches,Score,Win%
Arceus Duraludon,4,2 - 2 - 0,50.00%
Lost Zone Box,4,1 - 3 - 0,25.00%
Mew Genesect,4,1 - 3 - 0,25.00%
Lugia Archeops,3,1 - 2 - 0,33.33%
Vikavolt,3,0 - 3 - 0,0.00%
Vikavolt Regieleki,2,2 - 0 - 0,100.00%
Regis,2,0 - 2 - 0,0.00%
Kyurem Palkia,1,1 - 0 - 0,100.00%
Calyrex Inteleon,1,1 - 0 - 0,100.00%
Other,1,1 - 0 - 0,100.00%
Inteleon Box,1,1 - 0 - 0,100.00%
Zoroark Box,1,1 - 0 - 0,100.00%
Shadow Rider Calyrex,1,1 - 0 - 0,100.00%
Giratina LZ Box,1,0 - 1 - 0,0.00%
Arceus Goodra,1,0 - 1 - 0,0.00%
Yveltal Control,1,0 - 1 - 0,0.00%
Urshifu Inteleon,1,0 - 1 - 0,0.00%
