Opponent,Matches,Score,Win%
Lugia Archeops,297,110 - 183 - 4,37.04%
Mew Genesect,205,85 - 118 - 2,41.46%
Lost Zone Box,181,73 - 97 - 11,40.33%
Regis,103,35 - 66 - 2,33.98%
Arceus Duraludon,90,44 - 43 - 3,48.89%
Giratina LZ Box,77,32 - 43 - 2,41.56%
Rayquaza LZ Box,55,16 - 38 - 1,29.09%
Other,47,30 - 17 - 0,63.83%
Goodra LZ Box,41,26 - 15 - 0,63.41%
Vikavolt Regieleki,40,23 - 17 - 0,57.50%
Kyurem Palkia,32,16 - 16 - 0,50.00%
Arceus Flying Pikachu,31,11 - 19 - 1,35.48%
Palkia Inteleon,29,15 - 14 - 0,51.72%
Zoroark Box,27,14 - 13 - 0,51.85%
Hisuian Zoroark,21,14 - 7 - 0,66.67%
Arceus Goodra,21,11 - 10 - 0,52.38%
Eternatus,21,10 - 9 - 2,47.62%
Arceus Regidrago,16,8 - 8 - 0,50.00%
Mewtwo Control,14,10 - 3 - 1,71.43%
Vikavolt,13,9 - 4 - 0,69.23%
Arceus Inteleon,13,8 - 5 - 0,61.54%
Crobat Weezing,13,8 - 5 - 0,61.54%
Regidrago,12,5 - 7 - 0,41.67%
Durant,11,5 - 6 - 0,45.45%
Yveltal Control,11,5 - 5 - 1,45.45%
Urshifu Inteleon,9,8 - 1 - 0,88.89%
Duraludon,9,7 - 2 - 0,77.78%
Arceus,8,4 - 4 - 0,50.00%
Shadow Rider Calyrex,7,4 - 3 - 0,57.14%
Blissey,7,0 - 7 - 0,0.00%
Weezing Aerodactyl,6,5 - 1 - 0,83.33%
Darkrai,6,4 - 2 - 0,66.67%
Arceus Mewtwo,5,3 - 2 - 0,60.00%
Rapid Strike Urshifu,5,3 - 2 - 0,60.00%
Flaaffy,5,3 - 2 - 0,60.00%
Inteleon Box,5,2 - 2 - 1,40.00%
Miltank Yveltal,5,2 - 2 - 1,40.00%
Hisuian Arcanine,5,2 - 3 - 0,40.00%
Arceus Tapu Koko,5,2 - 3 - 0,40.00%
Mewtwo Gengar,4,4 - 0 - 0,100.00%
Clefairy,4,3 - 1 - 0,75.00%
Calyrex Inteleon,4,3 - 1 - 0,75.00%
Miltank,4,3 - 1 - 0,75.00%
Articuno Inteleon,4,2 - 2 - 0,50.00%
Frosmoth Inteleon Box,4,2 - 2 - 0,50.00%
Dialga,4,1 - 3 - 0,25.00%
Rapid Strike Malamar,3,3 - 0 - 0,100.00%
Victini,3,2 - 1 - 0,66.67%
Galarian Weezing,3,2 - 1 - 0,66.67%
Arceus Giratina,3,0 - 3 - 0,0.00%
Rotom,3,0 - 3 - 0,0.00%
Kyurem,2,2 - 0 - 0,100.00%
Dragapult Inteleon,2,2 - 0 - 0,100.00%
Dragapult,2,2 - 0 - 0,100.00%
Hisuian Samurott,2,2 - 0 - 0,100.00%
Zacian,2,2 - 0 - 0,100.00%
Serperior,2,1 - 1 - 0,50.00%
Alolan Vulpix,2,1 - 1 - 0,50.00%
Malamar (VMAX),2,1 - 1 - 0,50.00%
Snorlax Cherrim,2,1 - 1 - 0,50.00%
Palkia Vikavolt,2,0 - 2 - 0,0.00%
Decidueye Inteleon,2,0 - 2 - 0,0.00%
Palkia,2,0 - 1 - 1,0.00%
Sylveon Arceus,1,1 - 0 - 0,100.00%
Samurott Weezing,1,1 - 0 - 0,100.00%
Machamp,1,1 - 0 - 0,100.00%
Snorlax Stall,1,1 - 0 - 0,100.00%
Dark Inteleon,1,1 - 0 - 0,100.00%
Darkrai Weezing,1,1 - 0 - 0,100.00%
Omastar Archeops,1,1 - 0 - 0,100.00%
Jolteon Inteleon,1,1 - 0 - 0,100.00%
Flaaffy Zekrom,1,1 - 0 - 0,100.00%
Coalossal,1,1 - 0 - 0,100.00%
Galarian Obstagoon,1,1 - 0 - 0,100.00%
Calyrex Palkia,1,1 - 0 - 0,100.00%
Blaziken Zeraora,1,1 - 0 - 0,100.00%
Arcanine Zoroark,1,0 - 1 - 0,0.00%
Orbeetle,1,0 - 1 - 0,0.00%
Jolteon,1,0 - 1 - 0,0.00%
Arceus Rayquaza,1,0 - 1 - 0,0.00%
Weezing Inteleon,1,0 - 1 - 0,0.00%
Togekiss,1,0 - 1 - 0,0.00%
Inteleon Inteleon,1,0 - 1 - 0,0.00%
Zeraora,1,0 - 1 - 0,0.00%
