Opponent,Matches,Score,Win%
Lugia Archeops,2427,971 - 1384 - 72,40.01%
Mew Genesect,1635,864 - 720 - 51,52.84%
Lost Zone Box,1168,557 - 557 - 54,47.69%
Regis,771,313 - 421 - 37,40.60%
Arceus Duraludon,732,256 - 451 - 25,34.97%
Rayquaza LZ Box,520,268 - 227 - 25,51.54%
Goodra LZ Box,517,172 - 327 - 18,33.27%
Giratina LZ Box,470,246 - 216 - 8,52.34%
Other,279,174 - 98 - 7,62.37%
Palkia Inteleon,258,146 - 104 - 8,56.59%
Eternatus,237,110 - 117 - 10,46.41%
Vikavolt Regieleki,218,83 - 131 - 4,38.07%
Kyurem Palkia,181,97 - 73 - 11,53.59%
Vikavolt,173,79 - 90 - 4,45.66%
Arceus Flying Pikachu,170,59 - 107 - 4,34.71%
Yveltal Control,151,77 - 65 - 9,50.99%
Zoroark Box,146,110 - 34 - 2,75.34%
Mewtwo Control,114,53 - 48 - 13,46.49%
Arceus,106,42 - 62 - 2,39.62%
Hisuian Zoroark,87,53 - 28 - 6,60.92%
Shadow Rider Calyrex,85,37 - 43 - 5,43.53%
Arceus Tapu Koko,77,29 - 46 - 2,37.66%
Blissey,77,29 - 48 - 0,37.66%
Arceus Goodra,77,18 - 57 - 2,23.38%
Galarian Weezing,76,49 - 23 - 4,64.47%
Regidrago,75,43 - 32 - 0,57.33%
Arceus Regidrago,73,36 - 34 - 3,49.32%
Arceus Inteleon,72,19 - 50 - 3,26.39%
Lunatone Solrock,63,44 - 19 - 0,69.84%
Palkia Vikavolt,51,23 - 26 - 2,45.10%
Crobat Weezing,49,20 - 29 - 0,40.82%
Durant,46,29 - 17 - 0,63.04%
Weezing Aerodactyl,46,18 - 26 - 2,39.13%
Duraludon,40,24 - 12 - 4,60.00%
Frosmoth Inteleon Box,37,26 - 10 - 1,70.27%
Zacian,37,24 - 13 - 0,64.86%
Rotom,33,21 - 11 - 1,63.64%
Dialga,30,16 - 11 - 3,53.33%
Inteleon Box,29,19 - 9 - 1,65.52%
Flaaffy,26,18 - 7 - 1,69.23%
Palkia,24,14 - 10 - 0,58.33%
Darkrai,22,18 - 4 - 0,81.82%
Arceus Giratina,22,11 - 11 - 0,50.00%
Mewtwo Gengar,21,13 - 6 - 2,61.90%
Urshifu Inteleon,19,11 - 7 - 1,57.89%
Kyurem,18,12 - 5 - 1,66.67%
Calyrex Inteleon,17,15 - 2 - 0,88.24%
Arceus Mewtwo,17,3 - 13 - 1,17.65%
Hisuian Arcanine,15,10 - 5 - 0,66.67%
Miltank Yveltal,15,8 - 7 - 0,53.33%
Rapid Strike Urshifu,15,7 - 8 - 0,46.67%
Dialga LZ,13,7 - 6 - 0,53.85%
Articuno Inteleon,12,8 - 4 - 0,66.67%
Rapid Strike Malamar,11,7 - 4 - 0,63.64%
Snorlax Stall,10,3 - 7 - 0,30.00%
Calyrex Palkia,8,7 - 1 - 0,87.50%
Miltank,8,2 - 4 - 2,25.00%
Inteleon Inteleon,7,4 - 3 - 0,57.14%
Alolan Vulpix,7,3 - 2 - 2,42.86%
Giratina,7,1 - 6 - 0,14.29%
Omastar Archeops,6,4 - 1 - 1,66.67%
Gengar,6,4 - 2 - 0,66.67%
Ice Rider Calyrex,6,3 - 3 - 0,50.00%
Malamar (VMAX),6,3 - 2 - 1,50.00%
Arceus Ice Rider,6,3 - 2 - 1,50.00%
Dragapult Inteleon,6,2 - 4 - 0,33.33%
Togekiss,6,2 - 2 - 2,33.33%
Amazing Raikou,6,1 - 5 - 0,16.67%
Cramorant,5,4 - 1 - 0,80.00%
Leafeon Inteleon,5,4 - 1 - 0,80.00%
Darkrai Weezing,5,4 - 1 - 0,80.00%
Samurott Weezing,5,3 - 2 - 0,60.00%
Dragapult,5,3 - 2 - 0,60.00%
Arcanine Zoroark,4,4 - 0 - 0,100.00%
Frosmoth Box,4,4 - 0 - 0,100.00%
Mad Party,4,3 - 1 - 0,75.00%
Snorlax,4,3 - 1 - 0,75.00%
Zeraora,4,3 - 1 - 0,75.00%
Umbreon Urshifu,4,3 - 1 - 0,75.00%
Jolteon,4,3 - 1 - 0,75.00%
Decidueye Inteleon,4,2 - 2 - 0,50.00%
Snorlax Cherrim,4,2 - 2 - 0,50.00%
Inteleon Urshifu,4,2 - 2 - 0,50.00%
Boltund Flaaffy,4,2 - 2 - 0,50.00%
Victini,4,1 - 3 - 0,25.00%
Suicune Ludicolo,4,1 - 3 - 0,25.00%
Mimikyu,3,3 - 0 - 0,100.00%
Samurott Inteleon,3,3 - 0 - 0,100.00%
Clefairy,3,2 - 1 - 0,66.67%
Wailord,3,2 - 1 - 0,66.67%
Leafeon,3,2 - 1 - 0,66.67%
Lucario,3,2 - 1 - 0,66.67%
Hisuian Goodra,3,2 - 1 - 0,66.67%
Weezing Inteleon,3,2 - 1 - 0,66.67%
Jolteon Inteleon,3,1 - 2 - 0,33.33%
Arceus Rayquaza,3,0 - 2 - 1,0.00%
Charizard,2,2 - 0 - 0,100.00%
Serperior,2,2 - 0 - 0,100.00%
