Opponent,Matches,Score,Win%
Lugia Archeops,5418,2620 - 2620 - 178,48.36%
Mew Genesect,3397,1654 - 1665 - 78,48.69%
Lost Zone Box,2427,1384 - 971 - 72,57.03%
Regis,1610,725 - 841 - 44,45.03%
Arceus Duraludon,1498,710 - 751 - 37,47.40%
Goodra LZ Box,1108,589 - 483 - 36,53.16%
Rayquaza LZ Box,1009,534 - 436 - 39,52.92%
Giratina LZ Box,857,521 - 312 - 24,60.79%
Eternatus,545,274 - 253 - 18,50.28%
Palkia Inteleon,537,274 - 247 - 16,51.02%
Other,501,330 - 158 - 13,65.87%
Vikavolt,454,212 - 232 - 10,46.70%
Arceus Flying Pikachu,405,211 - 186 - 8,52.10%
Vikavolt Regieleki,399,216 - 176 - 7,54.14%
Zoroark Box,311,141 - 166 - 4,45.34%
Kyurem Palkia,297,183 - 110 - 4,61.62%
Yveltal Control,295,105 - 165 - 25,35.59%
Arceus,256,153 - 100 - 3,59.77%
Hisuian Zoroark,214,143 - 64 - 7,66.82%
Mewtwo Control,204,93 - 99 - 12,45.59%
Arceus Tapu Koko,199,86 - 109 - 4,43.22%
Arceus Goodra,179,109 - 63 - 7,60.89%
Blissey,164,100 - 60 - 4,60.98%
Shadow Rider Calyrex,158,102 - 54 - 2,64.56%
Regidrago,152,105 - 46 - 1,69.08%
Arceus Inteleon,137,72 - 56 - 9,52.55%
Lunatone Solrock,124,63 - 56 - 5,50.81%
Arceus Regidrago,120,71 - 47 - 2,59.17%
Galarian Weezing,114,37 - 73 - 4,32.46%
Durant,102,52 - 49 - 1,50.98%
Crobat Weezing,95,58 - 33 - 4,61.05%
Duraludon,91,50 - 41 - 0,54.95%
Zacian,83,43 - 38 - 2,51.81%
Palkia Vikavolt,82,35 - 45 - 2,42.68%
Rotom,70,39 - 30 - 1,55.71%
Weezing Aerodactyl,64,19 - 45 - 0,29.69%
Dialga,63,38 - 23 - 2,60.32%
Palkia,53,30 - 20 - 3,56.60%
Darkrai,50,36 - 14 - 0,72.00%
Frosmoth Inteleon Box,50,26 - 24 - 0,52.00%
Rapid Strike Urshifu,49,35 - 12 - 2,71.43%
Inteleon Box,44,20 - 24 - 0,45.45%
Calyrex Inteleon,41,29 - 12 - 0,70.73%
Arceus Giratina,41,25 - 15 - 1,60.98%
Flaaffy,40,24 - 16 - 0,60.00%
Mewtwo Gengar,34,20 - 13 - 1,58.82%
Urshifu Inteleon,32,21 - 11 - 0,65.63%
Arceus Mewtwo,31,18 - 11 - 2,58.06%
Hisuian Arcanine,30,24 - 6 - 0,80.00%
Kyurem,27,21 - 5 - 1,77.78%
Miltank Yveltal,26,10 - 13 - 3,38.46%
Dialga LZ,25,25 - 0 - 0,100.00%
Alolan Vulpix,22,20 - 2 - 0,90.91%
Snorlax Stall,19,9 - 8 - 2,47.37%
Articuno Inteleon,19,9 - 9 - 1,47.37%
Weezing Inteleon,18,6 - 12 - 0,33.33%
Darkrai Weezing,17,12 - 4 - 1,70.59%
Inteleon Inteleon,16,7 - 9 - 0,43.75%
Charizard,15,12 - 3 - 0,80.00%
Snorlax Cherrim,14,9 - 5 - 0,64.29%
Arcanine Zoroark,14,8 - 6 - 0,57.14%
Calyrex Palkia,14,8 - 6 - 0,57.14%
Victini,13,11 - 2 - 0,84.62%
Rapid Strike Malamar,13,9 - 4 - 0,69.23%
Decidueye Inteleon,12,8 - 3 - 1,66.67%
Amazing Raikou,12,7 - 5 - 0,58.33%
Inteleon Urshifu,11,9 - 1 - 1,81.82%
Umbreon Urshifu,11,7 - 4 - 0,63.64%
Clefairy,10,8 - 2 - 0,80.00%
Hisuian Samurott,10,6 - 4 - 0,60.00%
Omastar Archeops,9,7 - 2 - 0,77.78%
Zeraora,9,6 - 3 - 0,66.67%
Gengar,9,5 - 2 - 2,55.56%
Arceus Ice Rider,9,5 - 4 - 0,55.56%
Hisuian Goodra,9,5 - 4 - 0,55.56%
Togekiss,9,4 - 4 - 1,44.44%
Miltank,9,4 - 3 - 2,44.44%
Dragapult Inteleon,8,8 - 0 - 0,100.00%
Ice Rider Calyrex,8,7 - 1 - 0,87.50%
Boltund Flaaffy,8,6 - 2 - 0,75.00%
Dark Inteleon,8,5 - 3 - 0,62.50%
Giratina,8,5 - 3 - 0,62.50%
Samurott Weezing,8,4 - 3 - 1,50.00%
Malamar (VMAX),8,4 - 4 - 0,50.00%
Serperior,7,4 - 3 - 0,57.14%
Suicune Ludicolo,7,4 - 3 - 0,57.14%
Galarian Obstagoon,7,4 - 3 - 0,57.14%
Mad Party,7,3 - 4 - 0,42.86%
Entei,6,4 - 2 - 0,66.67%
Inteleon,6,4 - 2 - 0,66.67%
Frosmoth Box,5,5 - 0 - 0,100.00%
Leafeon Inteleon,5,4 - 1 - 0,80.00%
Grimmsnarl,5,3 - 2 - 0,60.00%
Dracozolt,5,2 - 3 - 0,40.00%
Arceus Malamar,5,1 - 4 - 0,20.00%
Orbeetle,4,4 - 0 - 0,100.00%
Cramorant,4,4 - 0 - 0,100.00%
Calyrex Alcremie,4,4 - 0 - 0,100.00%
Lucario,4,4 - 0 - 0,100.00%
Leafeon,4,4 - 0 - 0,100.00%
Pachirisu Honchkrow,4,3 - 1 - 0,75.00%
Jolteon Inteleon,4,3 - 1 - 0,75.00%
Dragapult,4,3 - 1 - 0,75.00%
Entei Ludicolo,4,2 - 2 - 0,50.00%
Tyranitar,3,3 - 0 - 0,100.00%
Coalossal (Tar Generator),3,3 - 0 - 0,100.00%
Samurott Inteleon,3,3 - 0 - 0,100.00%
Arceus Aggron,3,2 - 1 - 0,66.67%
Jolteon,3,2 - 1 - 0,66.67%
Dragonite,3,2 - 1 - 0,66.67%
Pikachu,3,1 - 2 - 0,33.33%
Gardevoir,3,0 - 3 - 0,0.00%
Arceus Lycanroc,2,2 - 0 - 0,100.00%
Corviknight,2,2 - 0 - 0,100.00%
Mimikyu,2,2 - 0 - 0,100.00%
Hisuian Arcanine,2,2 - 0 - 0,100.00%
Snorlax,2,2 - 0 - 0,100.00%
Blaziken,2,2 - 0 - 0,100.00%
Charizard,2,1 - 1 - 0,50.00%
Sylveon,2,1 - 1 - 0,50.00%
Castform,2,1 - 1 - 0,50.00%
Amazing Kyogre,2,1 - 0 - 1,50.00%
Single Strike Urshifu,2,1 - 1 - 0,50.00%
Morpeko,2,1 - 1 - 0,50.00%
Crobat,2,1 - 1 - 0,50.00%
Arceus Flygon,2,1 - 1 - 0,50.00%
Morpeko Diancie,2,1 - 1 - 0,50.00%
Rayquaza Flaaffy,2,0 - 2 - 0,0.00%
Arceus Charizard,1,1 - 0 - 0,100.00%
Sableye,1,1 - 0 - 0,100.00%
Flaaffy Raichu,1,1 - 0 - 0,100.00%
Mewtwo Lunarock,1,1 - 0 - 0,100.00%
Togekiss Bronzong,1,1 - 0 - 0,100.00%
Shadow Rider Whimsicott,1,1 - 0 - 0,100.00%
Boltund,1,1 - 0 - 0,100.00%
Leafeon,1,1 - 0 - 0,100.00%
Torterra,1,1 - 0 - 0,100.00%
Stonjourner,1,1 - 0 - 0,100.00%
Blaziken Zeraora,1,1 - 0 - 0,100.00%
Boltund,1,1 - 0 - 0,100.00%
Arceus Rayquaza,1,1 - 0 - 0,100.00%
Decidueye,1,1 - 0 - 0,100.00%
Machamp,1,0 - 1 - 0,0.00%
Amazing Reshiram,1,0 - 1 - 0,0.00%
Coalossal,1,0 - 1 - 0,0.00%
Obstagoon Inteleon,1,0 - 1 - 0,0.00%
