Opponent,Matches,Score,Win%
Lugia Archeops,124,56 - 63 - 5,45.16%
Mew Genesect,100,47 - 52 - 1,47.00%
Lost Zone Box,63,19 - 44 - 0,30.16%
Arceus Duraludon,39,17 - 21 - 1,43.59%
Regis,38,21 - 17 - 0,55.26%
Giratina LZ Box,27,13 - 14 - 0,48.15%
Goodra LZ Box,27,10 - 16 - 1,37.04%
Rayquaza LZ Box,27,9 - 17 - 1,33.33%
Other,18,13 - 4 - 1,72.22%
Eternatus,13,4 - 9 - 0,30.77%
Palkia Inteleon,12,6 - 6 - 0,50.00%
Vikavolt Regieleki,12,5 - 6 - 1,41.67%
Zoroark Box,12,3 - 9 - 0,25.00%
Arceus Flying Pikachu,10,3 - 7 - 0,30.00%
Blissey,8,5 - 3 - 0,62.50%
Vikavolt,7,6 - 1 - 0,85.71%
Rotom,7,6 - 1 - 0,85.71%
Arceus Goodra,7,4 - 3 - 0,57.14%
Arceus,6,4 - 1 - 1,66.67%
Arceus Inteleon,6,0 - 6 - 0,0.00%
Durant,5,4 - 1 - 0,80.00%
Zacian,5,3 - 2 - 0,60.00%
Frosmoth Inteleon Box,5,3 - 2 - 0,60.00%
Hisuian Zoroark,4,4 - 0 - 0,100.00%
Weezing Aerodactyl,4,4 - 0 - 0,100.00%
Galarian Weezing,4,2 - 2 - 0,50.00%
Yveltal Control,4,2 - 2 - 0,50.00%
Arceus Tapu Koko,4,1 - 3 - 0,25.00%
Mewtwo Control,3,3 - 0 - 0,100.00%
Arceus Regidrago,3,2 - 1 - 0,66.67%
Dialga,3,2 - 1 - 0,66.67%
Duraludon,3,2 - 1 - 0,66.67%
Shadow Rider Calyrex,3,2 - 1 - 0,66.67%
Calyrex Inteleon,3,2 - 1 - 0,66.67%
Rapid Strike Malamar,2,2 - 0 - 0,100.00%
Inteleon Box,2,1 - 1 - 0,50.00%
Darkrai,2,1 - 1 - 0,50.00%
Arceus Giratina,2,1 - 1 - 0,50.00%
Crobat Weezing,2,1 - 1 - 0,50.00%
Clefairy,1,1 - 0 - 0,100.00%
Machamp,1,1 - 0 - 0,100.00%
Alolan Vulpix,1,1 - 0 - 0,100.00%
Togekiss,1,1 - 0 - 0,100.00%
Dialga LZ,1,1 - 0 - 0,100.00%
Darkrai Weezing,1,1 - 0 - 0,100.00%
Snorlax Stall,1,1 - 0 - 0,100.00%
Calyrex Alcremie,1,1 - 0 - 0,100.00%
Ice Rider Calyrex,1,1 - 0 - 0,100.00%
Dragapult,1,1 - 0 - 0,100.00%
Urshifu Inteleon,1,1 - 0 - 0,100.00%
Arceus Aggron,1,1 - 0 - 0,100.00%
Kyurem,1,1 - 0 - 0,100.00%
Calyrex Palkia,1,1 - 0 - 0,100.00%
Coalossal (Tar Generator),1,1 - 0 - 0,100.00%
Suicune Ludicolo,1,1 - 0 - 0,100.00%
Serperior,1,1 - 0 - 0,100.00%
Hisuian Samurott,1,1 - 0 - 0,100.00%
Decidueye Inteleon,1,1 - 0 - 0,100.00%
Zeraora,1,1 - 0 - 0,100.00%
Rapid Strike Urshifu,1,1 - 0 - 0,100.00%
Miltank,1,1 - 0 - 0,100.00%
Inteleon Urshifu,1,1 - 0 - 0,100.00%
Hisuian Arcanine,1,1 - 0 - 0,100.00%
Arceus Mewtwo,1,0 - 1 - 0,0.00%
Mewtwo Gengar,1,0 - 0 - 1,0.00%
Palkia Vikavolt,1,0 - 0 - 1,0.00%
Samurott Inteleon,1,0 - 1 - 0,0.00%
Palkia,1,0 - 1 - 0,0.00%
Regidrago,1,0 - 1 - 0,0.00%
Arceus Rayquaza,1,0 - 1 - 0,0.00%
Dragapult Inteleon,1,0 - 1 - 0,0.00%
