Opponent,Matches,Score,Win%
Lugia Archeops,7,4 - 3 - 0,57.14%
Mew Genesect,6,2 - 3 - 1,33.33%
Lost Zone Box,4,1 - 3 - 0,25.00%
Rayquaza LZ Box,3,1 - 2 - 0,33.33%
Arceus Duraludon,2,2 - 0 - 0,100.00%
Other,2,2 - 0 - 0,100.00%
Goodra LZ Box,2,0 - 2 - 0,0.00%
Arceus,1,1 - 0 - 0,100.00%
Giratina LZ Box,1,0 - 1 - 0,0.00%
Regis,1,0 - 0 - 1,0.00%
Frosmoth Box,1,0 - 1 - 0,0.00%
Duraludon,1,0 - 1 - 0,0.00%
Crobat Weezing,1,0 - 1 - 0,0.00%
Eternatus,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
Vikavolt,1,0 - 1 - 0,0.00%
