Opponent,Matches,Score,Win%
Lugia Archeops,13,4 - 9 - 0,30.77%
Lost Zone Box,11,4 - 7 - 0,36.36%
Mew Genesect,10,3 - 7 - 0,30.00%
Regis,8,5 - 3 - 0,62.50%
Arceus Duraludon,7,2 - 5 - 0,28.57%
Giratina LZ Box,6,2 - 4 - 0,33.33%
Blissey,4,3 - 1 - 0,75.00%
Goodra LZ Box,3,2 - 1 - 0,66.67%
Arceus Flying Pikachu,3,1 - 2 - 0,33.33%
Other,3,0 - 3 - 0,0.00%
Decidueye Inteleon,3,0 - 3 - 0,0.00%
Kyurem Palkia,3,0 - 3 - 0,0.00%
Rapid Strike Malamar,2,1 - 1 - 0,50.00%
Vikavolt,2,1 - 1 - 0,50.00%
Rayquaza LZ Box,2,0 - 2 - 0,0.00%
Lunatone Solrock,2,0 - 2 - 0,0.00%
Calyrex Inteleon,1,1 - 0 - 0,100.00%
Arceus Mewtwo,1,1 - 0 - 0,100.00%
Urshifu Inteleon,1,1 - 0 - 0,100.00%
Mewtwo Control,1,1 - 0 - 0,100.00%
Frosmoth Inteleon Box,1,1 - 0 - 0,100.00%
Arceus,1,1 - 0 - 0,100.00%
Arceus Inteleon,1,1 - 0 - 0,100.00%
Galarian Weezing,1,1 - 0 - 0,100.00%
Weezing Inteleon,1,0 - 1 - 0,0.00%
Palkia Inteleon,1,0 - 1 - 0,0.00%
Calyrex Palkia,1,0 - 1 - 0,0.00%
