Opponent,Matches,Score,Win%
Lugia Archeops,8,4 - 4 - 0,50.00%
Lost Zone Box,6,2 - 3 - 1,33.33%
Goodra LZ Box,4,1 - 3 - 0,25.00%
Other,3,2 - 1 - 0,66.67%
Mew Genesect,3,2 - 1 - 0,66.67%
Rayquaza LZ Box,3,1 - 2 - 0,33.33%
Hisuian Zoroark,3,1 - 2 - 0,33.33%
Kyurem Palkia,2,1 - 1 - 0,50.00%
Regidrago,2,1 - 1 - 0,50.00%
Vikavolt Regieleki,2,0 - 2 - 0,0.00%
Arceus Duraludon,1,1 - 0 - 0,100.00%
Yveltal Control,1,1 - 0 - 0,100.00%
Arceus Flying Pikachu,1,1 - 0 - 0,100.00%
Crobat Weezing,1,1 - 0 - 0,100.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
Arceus Goodra,1,0 - 1 - 0,0.00%
Eternatus,1,0 - 1 - 0,0.00%
Leafeon,1,0 - 1 - 0,0.00%
