Opponent,Matches,Score,Win%
Lugia Archeops,3397,1665 - 1654 - 78,49.01%
Mew Genesect,2250,1098 - 1098 - 54,48.80%
Lost Zone Box,1635,720 - 864 - 51,44.04%
Regis,1055,475 - 555 - 25,45.02%
Arceus Duraludon,987,547 - 416 - 24,55.42%
Goodra LZ Box,768,355 - 390 - 23,46.22%
Rayquaza LZ Box,682,305 - 353 - 24,44.72%
Giratina LZ Box,567,259 - 295 - 13,45.68%
Other,362,216 - 139 - 7,59.67%
Palkia Inteleon,350,173 - 170 - 7,49.43%
Eternatus,313,131 - 176 - 6,41.85%
Arceus Flying Pikachu,276,128 - 144 - 4,46.38%
Vikavolt Regieleki,274,136 - 134 - 4,49.64%
Vikavolt,273,105 - 165 - 3,38.46%
Zoroark Box,208,89 - 110 - 9,42.79%
Kyurem Palkia,205,118 - 85 - 2,57.56%
Yveltal Control,156,58 - 86 - 12,37.18%
Arceus,152,66 - 82 - 4,43.42%
Hisuian Zoroark,151,81 - 67 - 3,53.64%
Mewtwo Control,145,46 - 92 - 7,31.72%
Arceus Goodra,140,83 - 54 - 3,59.29%
Arceus Tapu Koko,131,57 - 70 - 4,43.51%
Blissey,105,55 - 47 - 3,52.38%
Lunatone Solrock,100,52 - 47 - 1,52.00%
Arceus Inteleon,100,47 - 47 - 6,47.00%
Arceus Regidrago,92,52 - 40 - 0,56.52%
Shadow Rider Calyrex,92,43 - 45 - 4,46.74%
Regidrago,91,69 - 22 - 0,75.82%
Durant,88,48 - 40 - 0,54.55%
Galarian Weezing,81,56 - 23 - 2,69.14%
Duraludon,70,44 - 26 - 0,62.86%
Palkia Vikavolt,69,40 - 26 - 3,57.97%
Crobat Weezing,62,23 - 37 - 2,37.10%
Zacian,53,30 - 23 - 0,56.60%
Rotom,44,25 - 19 - 0,56.82%
Inteleon Box,42,17 - 25 - 0,40.48%
Frosmoth Inteleon Box,40,14 - 25 - 1,35.00%
Weezing Aerodactyl,35,19 - 15 - 1,54.29%
Palkia,35,15 - 20 - 0,42.86%
Mewtwo Gengar,33,20 - 10 - 3,60.61%
Arceus Giratina,33,17 - 15 - 1,51.52%
Darkrai,31,16 - 15 - 0,51.61%
Dialga,30,19 - 10 - 1,63.33%
Urshifu Inteleon,29,16 - 11 - 2,55.17%
