Opponent,Matches,Score,Win%
Lugia Archeops,204,99 - 93 - 12,48.53%
Mew Genesect,145,92 - 46 - 7,63.45%
Lost Zone Box,114,48 - 53 - 13,42.11%
Regis,81,27 - 44 - 10,33.33%
Arceus Duraludon,79,24 - 42 - 13,30.38%
Rayquaza LZ Box,53,20 - 31 - 2,37.74%
Giratina LZ Box,49,16 - 30 - 3,32.65%
Eternatus,38,25 - 12 - 1,65.79%
Goodra LZ Box,31,12 - 17 - 2,38.71%
Vikavolt Regieleki,22,14 - 7 - 1,63.64%
Other,16,12 - 3 - 1,75.00%
Palkia Inteleon,16,10 - 4 - 2,62.50%
Arceus Flying Pikachu,16,9 - 6 - 1,56.25%
Vikavolt,16,8 - 8 - 0,50.00%
Zoroark Box,15,11 - 4 - 0,73.33%
Kyurem Palkia,14,3 - 10 - 1,21.43%
Arceus Inteleon,13,7 - 6 - 0,53.85%
Hisuian Zoroark,11,10 - 1 - 0,90.91%
Arceus Tapu Koko,11,9 - 2 - 0,81.82%
Yveltal Control,11,6 - 1 - 4,54.55%
Durant,11,4 - 7 - 0,36.36%
Arceus Goodra,10,8 - 2 - 0,80.00%
Arceus,8,5 - 3 - 0,62.50%
Mewtwo Control,8,3 - 3 - 2,37.50%
Galarian Weezing,7,5 - 1 - 1,71.43%
Blissey,7,3 - 3 - 1,42.86%
Weezing Aerodactyl,7,2 - 3 - 2,28.57%
Regidrago,6,4 - 2 - 0,66.67%
Arceus Regidrago,6,3 - 3 - 0,50.00%
Frosmoth Inteleon Box,6,2 - 3 - 1,33.33%
Shadow Rider Calyrex,6,1 - 5 - 0,16.67%
Miltank Yveltal,5,4 - 0 - 1,80.00%
Mewtwo Gengar,5,1 - 4 - 0,20.00%
Crobat Weezing,4,2 - 1 - 1,50.00%
Inteleon Box,3,2 - 1 - 0,66.67%
Togekiss,3,2 - 0 - 1,66.67%
Kyurem,3,2 - 1 - 0,66.67%
Palkia Vikavolt,3,2 - 0 - 1,66.67%
Arceus Mewtwo,3,1 - 2 - 0,33.33%
Darkrai,3,1 - 2 - 0,33.33%
Dialga LZ,3,1 - 2 - 0,33.33%
Lunatone Solrock,3,0 - 3 - 0,0.00%
Flaaffy,3,0 - 3 - 0,0.00%
Victini,2,2 - 0 - 0,100.00%
Urshifu Inteleon,2,2 - 0 - 0,100.00%
Duraludon,2,2 - 0 - 0,100.00%
Rapid Strike Urshifu,2,1 - 1 - 0,50.00%
Hisuian Arcanine,2,0 - 2 - 0,0.00%
Omastar Archeops,2,0 - 1 - 1,0.00%
Dialga,2,0 - 1 - 1,0.00%
Calyrex Inteleon,2,0 - 1 - 1,0.00%
Umbreon Urshifu,1,1 - 0 - 0,100.00%
Alolan Vulpix,1,1 - 0 - 0,100.00%
Dragapult,1,1 - 0 - 0,100.00%
Suicune Moltres,1,1 - 0 - 0,100.00%
Decidueye,1,1 - 0 - 0,100.00%
Arceus Charizard,1,0 - 1 - 0,0.00%
Wormadam Box,1,0 - 1 - 0,0.00%
Rapid Strike Malamar,1,0 - 1 - 0,0.00%
Articuno Inteleon,1,0 - 1 - 0,0.00%
Inteleon,1,0 - 1 - 0,0.00%
Frosmoth Box,1,0 - 1 - 0,0.00%
Gengar,1,0 - 1 - 0,0.00%
Charizard,1,0 - 1 - 0,0.00%
Arcanine Zoroark,1,0 - 1 - 0,0.00%
Rotom,1,0 - 1 - 0,0.00%
Jolteon Inteleon,1,0 - 1 - 0,0.00%
Entei,1,0 - 1 - 0,0.00%
Zacian,1,0 - 1 - 0,0.00%
