Opponent,Matches,Score,Win%
Lugia Archeops,34,13 - 20 - 1,38.24%
Mew Genesect,33,10 - 20 - 3,30.30%
Lost Zone Box,21,6 - 13 - 2,28.57%
Regis,9,5 - 4 - 0,55.56%
Rayquaza LZ Box,8,2 - 5 - 1,25.00%
Arceus Duraludon,7,2 - 5 - 0,28.57%
Goodra LZ Box,6,3 - 3 - 0,50.00%
Eternatus,6,1 - 5 - 0,16.67%
Mewtwo Control,5,4 - 1 - 0,80.00%
Arceus Flying Pikachu,4,3 - 1 - 0,75.00%
Palkia Inteleon,4,1 - 3 - 0,25.00%
Kyurem Palkia,4,0 - 4 - 0,0.00%
Giratina LZ Box,4,0 - 4 - 0,0.00%
Zoroark Box,3,2 - 0 - 1,66.67%
Other,3,2 - 1 - 0,66.67%
Regidrago,3,1 - 2 - 0,33.33%
Durant,3,0 - 3 - 0,0.00%
Arceus,2,1 - 1 - 0,50.00%
Hisuian Zoroark,2,1 - 0 - 1,50.00%
Blissey,2,1 - 1 - 0,50.00%
Vikavolt,2,1 - 1 - 0,50.00%
Crobat Weezing,2,0 - 2 - 0,0.00%
Weezing Aerodactyl,2,0 - 1 - 1,0.00%
Mewtwo Gengar,2,0 - 0 - 2,0.00%
Vikavolt Regieleki,2,0 - 2 - 0,0.00%
Omastar Archeops,1,1 - 0 - 0,100.00%
Flaaffy Zekrom,1,1 - 0 - 0,100.00%
Articuno Inteleon,1,1 - 0 - 0,100.00%
Victini,1,1 - 0 - 0,100.00%
Inteleon Box,1,1 - 0 - 0,100.00%
Dialga,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 0 - 1,0.00%
Frosmoth Inteleon Box,1,0 - 0 - 1,0.00%
Palkia Vikavolt,1,0 - 1 - 0,0.00%
Ice Rider Calyrex,1,0 - 1 - 0,0.00%
Flaaffy,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
Arceus Goodra,1,0 - 1 - 0,0.00%
Yveltal Control,1,0 - 0 - 1,0.00%
Urshifu Inteleon,1,0 - 1 - 0,0.00%
Alolan Vulpix,1,0 - 1 - 0,0.00%
Calyrex Inteleon,1,0 - 1 - 0,0.00%
Shadow Rider Calyrex,1,0 - 1 - 0,0.00%
