Opponent,Matches,Score,Win%
Mew Genesect,10,2 - 8 - 0,20.00%
Lugia Archeops,9,3 - 4 - 2,33.33%
Lost Zone Box,8,4 - 2 - 2,50.00%
Giratina LZ Box,5,1 - 3 - 1,20.00%
Rayquaza LZ Box,5,0 - 5 - 0,0.00%
Vikavolt,4,4 - 0 - 0,100.00%
Kyurem Palkia,4,1 - 3 - 0,25.00%
Regis,4,0 - 4 - 0,0.00%
Arceus Duraludon,4,0 - 4 - 0,0.00%
Eternatus,2,2 - 0 - 0,100.00%
Vikavolt Regieleki,1,1 - 0 - 0,100.00%
Hisuian Zoroark,1,1 - 0 - 0,100.00%
Other,1,1 - 0 - 0,100.00%
Regidrago,1,0 - 1 - 0,0.00%
Arceus Inteleon,1,0 - 1 - 0,0.00%
Arceus Regidrago,1,0 - 1 - 0,0.00%
Inteleon Inteleon,1,0 - 0 - 1,0.00%
Yveltal Control,1,0 - 0 - 1,0.00%
Goodra LZ Box,1,0 - 1 - 0,0.00%
Dragapult Inteleon,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Shadow Rider Calyrex,1,0 - 1 - 0,0.00%
Zacian,1,0 - 1 - 0,0.00%
Arceus,1,0 - 1 - 0,0.00%
