Opponent,Matches,Score,Win%
Lugia Archeops,26,13 - 10 - 3,50.00%
Mew Genesect,19,12 - 5 - 2,63.16%
Lost Zone Box,15,7 - 8 - 0,46.67%
Regis,7,3 - 3 - 1,42.86%
Zoroark Box,5,3 - 1 - 1,60.00%
Kyurem Palkia,5,2 - 2 - 1,40.00%
Mewtwo Control,5,0 - 4 - 1,0.00%
Hisuian Zoroark,4,3 - 1 - 0,75.00%
Arceus Duraludon,4,2 - 2 - 0,50.00%
Miltank Yveltal,4,2 - 2 - 0,50.00%
Rayquaza LZ Box,4,1 - 3 - 0,25.00%
Other,3,2 - 1 - 0,66.67%
Giratina LZ Box,3,1 - 2 - 0,33.33%
Arceus Goodra,2,2 - 0 - 0,100.00%
Eternatus,2,2 - 0 - 0,100.00%
Vikavolt Regieleki,2,1 - 0 - 1,50.00%
Palkia Vikavolt,2,1 - 1 - 0,50.00%
Frosmoth Box,2,1 - 0 - 1,50.00%
Arceus Regidrago,2,0 - 2 - 0,0.00%
Shadow Rider Calyrex,1,1 - 0 - 0,100.00%
Weezing Aerodactyl,1,1 - 0 - 0,100.00%
Darkrai,1,1 - 0 - 0,100.00%
Vikavolt,1,1 - 0 - 0,100.00%
Arceus Inteleon,1,0 - 1 - 0,0.00%
Dark Inteleon,1,0 - 1 - 0,0.00%
Dragapult,1,0 - 1 - 0,0.00%
Goodra LZ Box,1,0 - 1 - 0,0.00%
