Opponent,Matches,Score,Win%
Lugia Archeops,4,0 - 4 - 0,0.00%
Arceus,3,0 - 3 - 0,0.00%
Rayquaza LZ Box,2,1 - 1 - 0,50.00%
Regis,2,0 - 2 - 0,0.00%
Eternatus,2,0 - 2 - 0,0.00%
Kyurem Palkia,1,1 - 0 - 0,100.00%
Frosmoth Inteleon Box,1,1 - 0 - 0,100.00%
Arceus Duraludon,1,1 - 0 - 0,100.00%
Articuno Inteleon,1,1 - 0 - 0,100.00%
Goodra LZ Box,1,1 - 0 - 0,100.00%
Yveltal Control,1,1 - 0 - 0,100.00%
Hisuian Arcanine,1,0 - 1 - 0,0.00%
Galarian Weezing,1,0 - 1 - 0,0.00%
Shadow Rider Whimsicott,1,0 - 1 - 0,0.00%
Arceus Goodra,1,0 - 1 - 0,0.00%
