Opponent,Matches,Score,Win%
Lugia Archeops,501,158 - 330 - 13,31.54%
Mew Genesect,362,139 - 216 - 7,38.40%
Lost Zone Box,279,98 - 174 - 7,35.13%
Regis,167,62 - 94 - 11,37.13%
Arceus Duraludon,149,35 - 110 - 4,23.49%
Goodra LZ Box,126,29 - 96 - 1,23.02%
Other,124,62 - 62 - 0,50.00%
Rayquaza LZ Box,102,35 - 63 - 4,34.31%
Giratina LZ Box,87,28 - 57 - 2,32.18%
Palkia Inteleon,58,22 - 36 - 0,37.93%
Eternatus,56,15 - 41 - 0,26.79%
Kyurem Palkia,47,17 - 30 - 0,36.17%
Vikavolt,43,17 - 25 - 1,39.53%
Zoroark Box,40,14 - 22 - 4,35.00%
Hisuian Zoroark,39,18 - 20 - 1,46.15%
Arceus Flying Pikachu,36,11 - 23 - 2,30.56%
Vikavolt Regieleki,35,16 - 18 - 1,45.71%
Arceus,25,7 - 18 - 0,28.00%
Yveltal Control,25,6 - 14 - 5,24.00%
Shadow Rider Calyrex,24,10 - 13 - 1,41.67%
Blissey,23,13 - 8 - 2,56.52%
Arceus Goodra,22,5 - 15 - 2,22.73%
Arceus Regidrago,21,4 - 16 - 1,19.05%
Regidrago,20,7 - 13 - 0,35.00%
Lunatone Solrock,18,4 - 13 - 1,22.22%
Gardevoir,16,9 - 7 - 0,56.25%
Mewtwo Control,16,3 - 12 - 1,18.75%
Arceus Tapu Koko,15,4 - 10 - 1,26.67%
Durant,14,8 - 6 - 0,57.14%
Galarian Weezing,14,6 - 7 - 1,42.86%
Rotom,12,3 - 9 - 0,25.00%
Duraludon,11,6 - 4 - 1,54.55%
Zacian,11,4 - 7 - 0,36.36%
Arceus Inteleon,11,1 - 9 - 1,9.09%
Urshifu Inteleon,9,5 - 4 - 0,55.56%
Crobat Weezing,9,1 - 8 - 0,11.11%
Inteleon Box,8,8 - 0 - 0,100.00%
Dialga,8,3 - 5 - 0,37.50%
Weezing Aerodactyl,7,5 - 1 - 1,71.43%
Frosmoth Inteleon Box,7,4 - 3 - 0,57.14%
Calyrex Inteleon,7,3 - 4 - 0,42.86%
Darkrai,7,2 - 4 - 1,28.57%
Palkia,7,2 - 4 - 1,28.57%
Flaaffy,6,1 - 5 - 0,16.67%
Palkia Vikavolt,5,3 - 2 - 0,60.00%
Hisuian Arcanine,5,2 - 3 - 0,40.00%
Clefairy,4,3 - 1 - 0,75.00%
Arceus Giratina,4,3 - 1 - 0,75.00%
Kyurem,4,0 - 4 - 0,0.00%
Rapid Strike Malamar,3,3 - 0 - 0,100.00%
Decidueye Inteleon,3,2 - 1 - 0,66.67%
Dialga LZ,3,2 - 1 - 0,66.67%
Gardevoir Gallade,3,2 - 1 - 0,66.67%
Miltank Yveltal,3,1 - 2 - 0,33.33%
Inteleon Inteleon,3,1 - 2 - 0,33.33%
Mewtwo Gengar,3,1 - 2 - 0,33.33%
Malamar (VMAX),3,1 - 2 - 0,33.33%
Umbreon Urshifu,3,1 - 2 - 0,33.33%
Togekiss,3,0 - 3 - 0,0.00%
Articuno Inteleon,3,0 - 3 - 0,0.00%
Rapid Strike Urshifu,3,0 - 3 - 0,0.00%
Stonjourner,3,0 - 3 - 0,0.00%
Dragapult,2,2 - 0 - 0,100.00%
Snorlax Cherrim,2,2 - 0 - 0,100.00%
Boltund,2,2 - 0 - 0,100.00%
Clefairy Wyrdeer,2,1 - 1 - 0,50.00%
Samurott Inteleon,2,1 - 1 - 0,50.00%
Boltund,2,1 - 1 - 0,50.00%
Suicune Ludicolo,2,1 - 1 - 0,50.00%
Leafeon Inteleon,2,0 - 2 - 0,0.00%
Mad Party,2,0 - 2 - 0,0.00%
Lucario,2,0 - 2 - 0,0.00%
Arceus Ice Rider,2,0 - 2 - 0,0.00%
Suicune Moltres,1,1 - 0 - 0,100.00%
Omastar Archeops,1,1 - 0 - 0,100.00%
Castform,1,1 - 0 - 0,100.00%
Charizard,1,1 - 0 - 0,100.00%
Charizard,1,1 - 0 - 0,100.00%
Leafeon,1,1 - 0 - 0,100.00%
Single Strike Urshifu,1,1 - 0 - 0,100.00%
Darkrai Weezing,1,1 - 0 - 0,100.00%
Torterra,1,1 - 0 - 0,100.00%
Galarian Obstagoon,1,1 - 0 - 0,100.00%
Grimmsnarl,1,1 - 0 - 0,100.00%
Samurott Weezing,1,1 - 0 - 0,100.00%
Crobat,1,1 - 0 - 0,100.00%
Calyrex Palkia,1,1 - 0 - 0,100.00%
Alolan Vulpix,1,0 - 1 - 0,0.00%
Ice Rider Calyrex,1,0 - 1 - 0,0.00%
Sableye Inteleon,1,0 - 1 - 0,0.00%
Snorlax Stall,1,0 - 1 - 0,0.00%
Jolteon,1,0 - 1 - 0,0.00%
Sableye,1,0 - 1 - 0,0.00%
Amazing Kyogre,1,0 - 0 - 1,0.00%
Wailord,1,0 - 1 - 0,0.00%
Arcanine Zoroark,1,0 - 1 - 0,0.00%
Zeraora,1,0 - 1 - 0,0.00%
Gengar,1,0 - 1 - 0,0.00%
Dragonite,1,0 - 1 - 0,0.00%
Dracozolt,1,0 - 1 - 0,0.00%
Hisuian Samurott,1,0 - 1 - 0,0.00%
Arceus Malamar,1,0 - 1 - 0,0.00%
Miltank,1,0 - 1 - 0,0.00%
Inteleon Urshifu,1,0 - 1 - 0,0.00%
