Opponent,Matches,Score,Win%
Lugia Archeops,537,247 - 274 - 16,46.00%
Mew Genesect,350,170 - 173 - 7,48.57%
Lost Zone Box,258,104 - 146 - 8,40.31%
Regis,186,106 - 70 - 10,56.99%
Arceus Duraludon,159,72 - 82 - 5,45.28%
Goodra LZ Box,106,49 - 55 - 2,46.23%
Rayquaza LZ Box,104,44 - 54 - 6,42.31%
Giratina LZ Box,89,40 - 48 - 1,44.94%
Palkia Inteleon,66,32 - 32 - 2,48.48%
Vikavolt,62,16 - 44 - 2,25.81%
Other,58,36 - 22 - 0,62.07%
Eternatus,57,28 - 27 - 2,49.12%
Vikavolt Regieleki,54,13 - 41 - 0,24.07%
Arceus Flying Pikachu,46,25 - 21 - 0,54.35%
Yveltal Control,36,19 - 14 - 3,52.78%
Zoroark Box,31,19 - 12 - 0,61.29%
Arceus,29,16 - 12 - 1,55.17%
Kyurem Palkia,29,14 - 15 - 0,48.28%
Arceus Tapu Koko,20,7 - 11 - 2,35.00%
Arceus Goodra,19,9 - 10 - 0,47.37%
Regidrago,18,9 - 9 - 0,50.00%
Hisuian Zoroark,16,9 - 7 - 0,56.25%
Mewtwo Control,16,4 - 10 - 2,25.00%
Shadow Rider Calyrex,15,10 - 4 - 1,66.67%
Galarian Weezing,15,10 - 5 - 0,66.67%
Arceus Inteleon,14,7 - 6 - 1,50.00%
Palkia Vikavolt,14,4 - 9 - 1,28.57%
Duraludon,12,9 - 3 - 0,75.00%
Lunatone Solrock,12,6 - 6 - 0,50.00%
Arceus Regidrago,12,4 - 7 - 1,33.33%
Blissey,12,4 - 8 - 0,33.33%
Durant,10,5 - 5 - 0,50.00%
Weezing Aerodactyl,10,5 - 5 - 0,50.00%
Crobat Weezing,9,7 - 2 - 0,77.78%
Zacian,9,6 - 3 - 0,66.67%
Inteleon Box,8,7 - 1 - 0,87.50%
Arcanine Zoroark,7,5 - 2 - 0,71.43%
Calyrex Inteleon,7,5 - 1 - 1,71.43%
Frosmoth Inteleon Box,7,4 - 3 - 0,57.14%
Urshifu Inteleon,6,4 - 2 - 0,66.67%
Weezing Inteleon,5,4 - 1 - 0,80.00%
Rotom,5,4 - 1 - 0,80.00%
Darkrai,5,4 - 1 - 0,80.00%
Rapid Strike Urshifu,5,3 - 2 - 0,60.00%
Flaaffy,5,3 - 2 - 0,60.00%
Dialga,5,2 - 3 - 0,40.00%
Mewtwo Gengar,4,3 - 1 - 0,75.00%
Arceus Mewtwo,4,1 - 3 - 0,25.00%
Articuno Inteleon,3,3 - 0 - 0,100.00%
Serperior,3,2 - 1 - 0,66.67%
Snorlax Stall,3,2 - 1 - 0,66.67%
Galarian Obstagoon,3,2 - 1 - 0,66.67%
Zeraora,3,1 - 2 - 0,33.33%
Samurott Weezing,2,2 - 0 - 0,100.00%
Dragapult Inteleon,2,2 - 0 - 0,100.00%
Palkia,2,2 - 0 - 0,100.00%
Frosmoth Box,2,2 - 0 - 0,100.00%
Snorlax Cherrim,2,2 - 0 - 0,100.00%
Inteleon Inteleon,2,1 - 1 - 0,50.00%
Hisuian Goodra,2,1 - 1 - 0,50.00%
Omastar Archeops,2,1 - 1 - 0,50.00%
Hisuian Samurott,2,1 - 1 - 0,50.00%
Gengar,2,1 - 1 - 0,50.00%
Dialga LZ,2,0 - 2 - 0,0.00%
Arceus Charizard,2,0 - 1 - 1,0.00%
Giratina,2,0 - 2 - 0,0.00%
Charizard,1,1 - 0 - 0,100.00%
Amazing Reshiram,1,1 - 0 - 0,100.00%
Calyrex Palkia,1,1 - 0 - 0,100.00%
Charizard,1,1 - 0 - 0,100.00%
Entei,1,1 - 0 - 0,100.00%
Rapid Strike Malamar,1,1 - 0 - 0,100.00%
Togekiss,1,1 - 0 - 0,100.00%
Leafeon,1,1 - 0 - 0,100.00%
Hisuian Arcanine,1,1 - 0 - 0,100.00%
Snorlax,1,1 - 0 - 0,100.00%
Alolan Vulpix,1,1 - 0 - 0,100.00%
Mimikyu,1,1 - 0 - 0,100.00%
Clefairy,1,1 - 0 - 0,100.00%
Inteleon,1,1 - 0 - 0,100.00%
Rayquaza Flaaffy,1,0 - 1 - 0,0.00%
Ice Rider Calyrex,1,0 - 1 - 0,0.00%
Victini,1,0 - 1 - 0,0.00%
Kyurem,1,0 - 1 - 0,0.00%
Decidueye Inteleon,1,0 - 1 - 0,0.00%
Arceus Giratina,1,0 - 1 - 0,0.00%
Umbreon Urshifu,1,0 - 1 - 0,0.00%
